rank,token,count
1,the,887494
2,you,689420
3,i,608238
4,to,489848
5,and,477066
6,a,452900
7,me,303937
8,in,284885
9,it,250256
10,of,250171
11,my,244475
12,your,206293
13,on,194527
14,that,170585
15,love,166637
16,is,165739
17,for,152664
18,all,151640
19,i'm,148560
20,be,142015
21,don't,136363
22,we,125918
23,so,123685
24,no,122019
25,it's,117895
26,but,112252
27,know,110626
28,with,108158
29,just,108093
30,when,95912
31,do,95562
32,what,92552
33,like,91942
34,can,90807
35,this,88880
36,up,85514
37,got,84929
38,now,82952
39,out,80210
40,one,78269
41,you're,77707
42,time,76888
43,get,75426
44,are,74317
45,down,70792
46,was,69739
47,go,69009
48,if,68646
49,they,68176
50,never,66499
51,baby,65793
52,see,64481
53,will,63541
54,say,63279
55,have,62403
56,she,62282
57,he,62218
58,come,61889
59,can't,60603
60,not,58825
61,from,56238
62,want,54857
63,way,54272
64,take,51976
65,at,51319
66,make,50684
67,night,50357
68,her,49797
69,there,48785
70,as,48640
71,gonna,47644
72,away,45621
73,heart,45475
74,let,44773
75,i'll,44513
76,back,44262
77,cause,42298
78,life,41938
79,right,41845
80,feel,40703
81,man,40264
82,i've,39513
83,by,39320
84,tell,38907
85,there's,38549
86,his,38392
87,day,38265
88,need,38141
89,how,38133
90,here,37815
91,more,37570
92,too,37489
93,well,37134
94,give,35908
95,our,35574
96,could,34355
97,been,34177
98,girl,33991
99,or,33876
100,world,33798
101,where,33266
102,some,33146
103,only,32905
104,said,32670
105,that's,32406
106,again,31388
107,through,31335
108,good,31255
109,who,31200
110,wanna,30693
111,little,30071
112,why,29958
113,eyes,29763
114,about,29319
115,think,29081
116,then,28775
117,we're,28745
118,around,28126
119,won't,28019
120,look,27337
121,keep,27335
122,long,27177
123,over,27018
124,an,26705
125,had,26388
126,every,26152
127,us,25101
128,always,24830
129,mind,24818
130,ain't,24522
131,still,24485
132,him,24326
133,find,24074
134,she's,24045
135,were,23625
136,hear,22107
137,them,22000
138,home,21879
139,you've,21877
140,would,21558
141,tonight,21491
142,rock,21387
143,their,21296
144,he's,21234
145,ever,21228
146,hold,20944
147,really,20839
148,people,20788
149,things,20733
150,into,20566
151,much,20559
152,you'll,19513
153,better,19255
154,stop,19107
155,another,19019
156,nothing,18901
157,turn,18877
158,am,18830
159,before,18059
160,light,18053
161,live,17926
162,new,17906
163,has,17869
164,gone,17768
165,run,17651
166,going,17629
167,try,17597
168,alone,17313
169,thing,17016
170,call,16881
171,face,16878
172,something,16762
173,hard,16748
174,believe,16659
175,dance,16531
176,old,16481
177,gotta,16424
178,than,16186
179,place,16095
180,yes,16031
181,stay,15789
182,let's,15580
183,leave,15475
184,off,15462
185,inside,15444
186,play,15082
187,put,15081
188,true,15025
189,last,14993
190,show,14948
191,made,14874
192,head,14823
193,two,14736
194,must,14698
195,dream,14658
196,fire,14420
197,i'd,14312
198,hand,14148
199,name,14101
200,bad,14091
201,did,14024
202,left,13756
203,mine,13643
204,boy,13543
205,free,13458
206,please,13417
207,wrong,13353
208,stand,13227
209,talk,13195
210,big,13193
211,end,13190
212,should,13164
213,those,13106
214,walk,12966
215,without,12950
216,cry,12906
217,same,12712
218,we'll,12659
219,everything,12611
220,together,12565
221,even,12494
222,someone,12487
223,fall,12473
224,real,12390
225,soul,12283
226,they're,12209
227,beat,12163
228,sweet,12146
229,feeling,12146
230,lord,12098
231,care,11963
232,comes,11947
233,other,11827
234,lost,11750
235,own,11723
236,these,11705
237,break,11658
238,cold,11464
239,change,11432
240,money,11424
241,die,11375
242,looking,11315
243,high,11240
244,dreams,11170
245,sun,11114
246,start,11111
247,far,11104
248,because,11071
249,while,11047
250,ya,11026
251,what's,11009
252,forever,10980
253,waiting,10941
254,thought,10925
255,living,10825
256,god,10754
257,wait,10564
258,enough,10559
259,body,10538
260,town,10535
261,everybody,10529
262,door,10486
263,fight,10472
264,remember,10442
265,lonely,10387
266,move,10374
267,touch,10373
268,coming,10315
269,sing,10264
270,side,10143
271,best,10122
272,came,10078
273,didn't,10061
274,hands,10048
275,blue,9995
276,song,9971
277,pain,9954
278,round,9940
279,found,9859
280,once,9852
281,many,9776
282,any,9759
283,times,9698
284,ready,9693
285,rain,9644
286,might,9582
287,black,9538
288,words,9528
289,music,9522
290,days,9516
291,makes,9514
292,line,9497
293,work,9419
294,knew,9416
295,done,9415
296,sure,9363
297,may,9362
298,goes,9302
299,help,9290
300,maybe,9205
301,first,9182
302,crazy,9161
303,young,9063
304,sky,9062
305,woman,9053
306,hot,9038
307,listen,8971
308,girls,8911
309,friend,8853
310,told,8847
311,street,8805
312,watch,8743
313,after,8741
314,close,8681
315,myself,8678
316,dead,8608
317,understand,8597
318,kind,8560
319,lose,8559
320,behind,8553
321,mean,8494
322,chance,8427
323,seen,8372
324,easy,8368
325,mi,8366
326,used,8364
327,took,8341
328,morning,8303
329,bring,8301
330,chorus,8298
331,today,8288
