token,source_count,target_count,cosine_before,cosine_after,delta
je,246,106,-0.06953975043676962,0.7164210662503185,0.7859608166870882
is,165739,88791,0.05074490409034597,0.8116945589645317,0.7609496548741858
en,180,117,-0.1440416118103362,0.6130950006869562,0.7571366124972925
tall,1783,1286,-0.04310097661614302,0.7063775783309019,0.7494785549470449
brighter,660,462,0.010424220419477215,0.7527043134777006,0.7422800930582234
his,38392,26017,0.030599424224712894,0.7639278374674112,0.7333284132426984
conceal,207,108,-0.008862814425291795,0.7139790090847924,0.7228418235100842
wide,2289,1691,-0.07951359637835573,0.6387420013490235,0.7182555977273792
bowed,103,115,0.05609240099081081,0.7742690582641323,0.7181766572733215
pay,5781,3104,-0.011730509948974115,0.6985527391387839,0.710283249087758
mi,8366,1238,-0.07439140784007514,0.629014518304021,0.7034059261440961
nights,4748,2821,0.010528792253180864,0.7132291640300841,0.7027003717769033
bon,236,102,-0.07067244605274238,0.6306202920867504,0.7012927381394928
we're,28745,12971,0.02784572980257184,0.7242266409042306,0.6963809111016588
stay,15789,10608,0.02956670263932232,0.7251265505233854,0.695559847884063
lights,5236,2959,0.011792352002176673,0.7057887609184318,0.6939964089162551
silk,299,262,-0.07009562212860937,0.6223135974649789,0.6924092195935883
there's,38549,20674,0.09263476959999359,0.7766439156093892,0.6840091460093956
wink,270,162,0.006078761233998734,0.6842109298121406,0.6781321685781418
where,33266,23181,0.07551118718942372,0.7497858359279945,0.6742746487385708
rump,103,177,-0.0018874864753571285,0.6719294292603863,0.6738169157357434
us,25101,14699,0.08905213271350855,0.7565185577825614,0.6674664250690528
pulled,1180,699,-0.018200917613712984,0.6474494161909806,0.6656503338046936
shiver,428,189,0.03058937615688658,0.692910346878022,0.6623209707211354
rain,9644,7038,0.0006464478924618875,0.6614581756724988,0.6608117277800368
merry,1004,844,-0.0055364914360575,0.6518595277969221,0.6573960192329796
brighten,133,179,0.09071319057244587,0.7479886598090728,0.6572754692366269
breezes,126,154,0.07621312729051469,0.7328146795469294,0.6566015522564147
sincere,236,141,0.07482519393692573,0.7283773093105488,0.653552115373623
staring,1074,426,0.03912689190837475,0.6923909273429469,0.6532640354345722
cent,136,131,0.1017477325721197,0.7534313748199328,0.6516836422478132
un,250,188,-0.07764229631467802,0.5737180993463344,0.6513603956610124
haired,120,186,0.01938898990785938,0.6706922658322753,0.6513032759244158
mornings,153,193,-0.0029454038677869457,0.6465193598862256,0.6494647637540125
leads,865,451,0.009439804601368302,0.6587317659803045,0.6492919613789362
july,271,251,0.06007339882080989,0.7083267894388153,0.6482533906180055
blinded,537,278,0.06645383115473759,0.7145774090961587,0.6481235779414212
there,48785,32675,0.06231020106817596,0.7099603445922703,0.6476501435240943
rise,3626,1766,-0.02999511416636361,0.6107468088752268,0.6407419230415904
shadows,2931,1376,-0.009375834228381175,0.6307748385843236,0.6401506728127048
with,108158,65574,0.06349184549915107,0.7033869193158098,0.6398950738166587
grabbed,429,242,0.03701481491353807,0.6763606898495182,0.6393458749359802
written,1158,643,0.05830865289883417,0.6973840845277246,0.6390754316288905
our,35574,17975,0.1375251463273197,0.7762586884766196,0.6387335421492999
joyful,179,132,0.08189787802787668,0.7188996425628351,0.6370017645349584
sparkle,239,163,0.07759525393584218,0.7140062912030857,0.6364110372672435
blowing,909,750,0.009902971847052383,0.6451385716538305,0.6352355998067781
body's,571,234,-0.00037351910085280625,0.6334766358627932,0.633850154963646
flown,213,200,0.0639355490288479,0.6925526064700216,0.6286170574411737
beginning,1143,893,0.024557389577635376,0.6527230049753526,0.6281656153977172
dawning,257,276,0.11124989194388926,0.7384118863642417,0.6271619944203525
borrow,319,270,0.056095211900527325,0.6832119894916131,0.6271167775910858
crazy,9161,4837,-0.029747188054304343,0.596591426085211,0.6263386141395153
wiggle,254,233,-0.006308244344847447,0.6195363936051163,0.6258446379499637
older,1194,871,0.08079020322697456,0.7047229966388997,0.6239327934119252
tap,361,183,-0.01893990468865009,0.6046604721425095,0.6236003768311595
sandwich,109,101,0.027477208168988812,0.6507444386171728,0.623267230448184
christ,1523,713,-0.037524164449032234,0.5852037437310553,0.6227279081800876
land,7225,4606,-0.04512736497932776,0.5772091409981703,0.6223365059774981
pines,113,146,0.1027049277313572,0.7242097924406147,0.6215048647092575
helps,394,268,0.0025413313164868254,0.6233330163094146,0.6207916849929278
game,7323,3680,0.05269369038590339,0.6717123080852446,0.6190186176993412
pine,149,186,0.07427823679084139,0.6926919212156992,0.6184136844248578
fight,10472,3471,0.01227431524087369,0.6297439945445273,0.6174696793036536
happening,967,582,0.06643275000584942,0.6829174336018383,0.616484683595989
burned,1381,665,-0.006317782674335961,0.6101024173107068,0.6164201999850427
comb,225,164,0.07064906382804334,0.686575921794863,0.6159268579668197
gave,5909,4159,0.021008383483914102,0.6349986587199103,0.6139902752359963
jokes,276,159,0.04563470257743116,0.6580795695936164,0.6124448670161852
giving,3164,1744,0.019031907610406806,0.6295484821477952,0.6105165745373884
fought,648,411,0.026494119152368045,0.6364151344222997,0.6099210152699317
presents,154,107,0.0532108749770325,0.6628285180639142,0.6096176430868817
ladies,2678,1594,-0.04933630187234295,0.5596132036082087,0.6089495054805516
bad,14091,8021,-0.014120648466217169,0.5943011672909784,0.6084218157571956
howling,313,144,0.14070279011464432,0.748853001349869,0.6081502112352246
seem,5027,3201,0.03623713859772872,0.6443790059913401,0.6081418673936114
fetch,104,129,0.05326471803358694,0.6588384471951139,0.605573729161527
blood,7037,2082,-0.02956197450045188,0.5747642577794846,0.6043262322799364
darkened,260,123,0.07629434261730787,0.6796754769789046,0.6033811343615968
over,27018,16369,0.0009541007708209759,0.6036116423860951,0.6026575416152742
bottles,241,168,0.10361677193733293,0.7055100597263351,0.6018932877890022
candle,755,508,0.03287534998762431,0.6341500212932362,0.6012746713056119
rent,542,335,0.07624162472931217,0.6763977651612503,0.6001561404319381
river's,118,112,0.09586026116746338,0.6960061372086692,0.6001458760412058
eternity,871,419,0.03981917293831722,0.6377888930897203,0.597969720151403
funny,2497,2230,-0.004270404379158363,0.5935272761413701,0.5977976805205285
vibrations,145,266,0.11589128989947231,0.7134626376654866,0.5975713477660143
sell,1646,794,-0.037674503358094136,0.5581851860510638,0.5958596894091579
realise,504,302,0.07316633784097981,0.6684176783594517,0.5952513405184718
young,9063,5623,0.03090069659357986,0.6261261471878599,0.59522545059428
deeper,989,599,0.020923547931906077,0.6139937865418511,0.593070238609945
dream,14658,7845,0.0893225731333799,0.6821691027508829,0.5928465296175031
ahead,2377,1515,-0.0623907272674369,0.5292655406154914,0.5916562678829282
puts,619,338,0.04153665275057907,0.6321433909877354,0.5906067382371564
slap,392,129,0.020007675191988317,0.6105084816183745,0.5905008064263861
plead,292,109,0.051034916956627166,0.6412431671347979,0.5902082501781707
holes,586,292,0.009258184794602588,0.5973973337571975,0.5881391489625949
lot,5779,4240,0.07840552115896277,0.6662779955971883,0.5878724744382255
