token,source_count,target_count,cosine_before,cosine_after,delta
youth,1485,566,0.1271827148923205,0.3108152683963089,0.1836325535039884
buddy,787,448,0.0023506679868940256,0.32557582536348617,0.32322515737659213
macho,224,219,-0.10090827891154044,0.3517541126691161,0.4526623915806566
crew,1440,263,-0.07610244788979209,0.35239353063740064,0.42849597852719273
bug,321,154,-0.07133057927475367,0.37173063827480546,0.4430612175495591
susan,111,124,0.19018576764354872,0.37997004126433087,0.18978427362078215
heavy,2053,1552,0.02794713254044836,0.3806509178493679,0.35270378530891955
rush,1049,400,0.05968443161434758,0.38366249802102226,0.3239780664066747
don,1143,403,0.05622041827027455,0.3841081980687603,0.3278877797984857
wit,398,124,0.0012576188329390184,0.3852625268487359,0.3840049080157969
wi,161,127,0.08694057620012385,0.387601323741101,0.30066074754097716
soldier,1090,682,0.06786830242627942,0.3881349936404824,0.3202666912142029
force,1529,529,0.03917592442716136,0.39447216727006307,0.35529624284290173
main,769,492,0.08641363400461713,0.39456331911467135,0.30814968511005425
finish,518,222,0.11260715351417419,0.3986432141377282,0.286036060623554
means,2787,1435,0.023136046295166458,0.40559325535873114,0.3824572090635647
super,1437,702,0.010358542175678387,0.4057685366061606,0.3954099944304822
rap,3194,268,0.04081780447255528,0.40852348644283276,0.3677056819702775
christian,376,151,0.12214290904630676,0.41349427521615434,0.2913513661698476
sucker,1399,296,0.03367645255385906,0.4137041094443978,0.38002765689053875
cosmic,216,189,-0.002303967834426178,0.41820696712137084,0.420510934955797
dr,755,289,0.07275407426576856,0.418636486796404,0.3458824125306354
manhattan,206,173,0.1037300674837982,0.4190848322149492,0.315354764731151
ray,613,332,0.049536077851914884,0.4197119150233849,0.37017583717147
buzz,282,271,-0.013145204691665562,0.41989205049099615,0.43303725518266173
fit,1545,936,-0.029959772500795206,0.42152473809845414,0.4514845105992493
snake,703,343,0.08134198749617455,0.4234635947096075,0.34212160721343293
suppose,524,307,0.10288465792636961,0.42418816347413446,0.3213035055477649
funeral,295,160,0.12025437402959216,0.42556346736691797,0.3053090933373258
jim,455,346,-0.002764534861424379,0.4259129721732125,0.42867750703463686
non,487,196,-0.051085133569387015,0.42924872613941856,0.4803338597088056
lyrics,688,117,0.08086530590340182,0.42975148897880344,0.34888618307540165
woe,258,225,0.11387629477678005,0.43196505809236696,0.3180887633155869
dragon,298,222,0.14351888650058134,0.4332602031699051,0.2897413166693238
danny,149,144,0.05124422491700808,0.43363875340892527,0.3823945284919172
heartbreaker,181,124,0.0750903311986616,0.43525036364663056,0.36016003244796896
japan,276,100,-0.048133216045718144,0.4365392492423169,0.48467246528803504
cow,377,276,0.08810762707392768,0.43706109412829747,0.3489534670543698
damned,638,319,0.0023264873757954524,0.43811266724019615,0.4357861798644007
state,2309,742,0.06801707549628729,0.4387906742665947,0.3707735987703074
stock,205,157,0.002119641293391601,0.4401369325148453,0.4380172912214537
boss,978,487,0.13555827238791024,0.444529399115136,0.30897112672722576
mellow,409,611,0.045457209489900556,0.4455384044745012,0.40008119498460065
ball,2104,1458,0.14882894497985383,0.4458189552821892,0.29699001030233535
nature,1161,734,-0.039072473712647604,0.44599768119013194,0.48507015490277955
lads,162,116,0.12283048920733224,0.4462702344481959,0.32343974524086366
express,605,333,-0.06365239538269721,0.44645342790993503,0.5101058232926322
tramp,134,122,0.010767700406253557,0.4473485863672492,0.43658088596099565
jackson,214,199,0.02698955611907872,0.44923258840217256,0.42224303228309384
dope,1160,246,0.06279020950849351,0.451229057629967,0.3884388481214735
hail,594,306,0.010605828809501512,0.4513849798453217,0.4407791510358202
baba,205,158,0.02260773619427189,0.451423458468179,0.42881572227390713
ba,2831,2393,0.08398454402580659,0.4526181153438376,0.36863357131803104
sport,247,105,-0.03133435422701047,0.45303441751372125,0.48436877174073173
human,2849,1008,0.1274848262007246,0.45350017610950266,0.32601534990877806
shop,718,304,0.06329815066852441,0.45581010202796646,0.39251195135944206
careless,306,174,0.1247707459241702,0.45706108538297013,0.33229033945879993
spider,214,242,-0.03511000323767727,0.45730248417401187,0.49241248741168914
fat,1621,768,0.05455145452503047,0.4595166452413486,0.40496519071631815
salvation,624,283,0.04894625918996136,0.46186783382282626,0.4129215746328649
art,1193,464,0.06792531324254887,0.4637801269983931,0.39585481375584425
cop,474,277,-0.0053520884692298005,0.46392250233319665,0.46927459080242645
french,387,285,0.07766330658430723,0.4674813452662471,0.38981803868193987
child,5433,4419,0.17150646929293473,0.4689602577701159,0.2974537884771812
yellow,1177,993,0.050038414741042994,0.4689810678043187,0.4189426530632757
wa,600,329,-0.0029930891235814515,0.47195553823758674,0.47494862736116816
jeff,344,108,0.07968944815972628,0.4732097640108033,0.393520315851077
bustin,228,172,0.07243884206780901,0.47428195776939736,0.40184311570158837
motion,1639,616,0.10540417285434439,0.47504769934109886,0.36964352648675447
struggle,638,291,0.03797690146273404,0.47715059010242866,0.43917368863969464
joke,1041,483,0.012846197748319677,0.47875096824943403,0.46590477050111434
bones,1521,838,-0.039414923870012546,0.47893128538406327,0.5183462092540758
devil's,717,325,0.10021372407769537,0.4799172003001536,0.37970347622245826
expect,879,432,0.08405186615609564,0.48081122640546464,0.396759360249369
celebrate,930,281,0.052199791099327236,0.48368523055698914,0.43148543945766193
circle,949,588,0.09346225297866728,0.48475583381607384,0.39129358083740656
aim,614,158,0.09783232845319312,0.48487214485795643,0.3870398164047633
secret,2868,1066,0.13409038034731444,0.48490422686833373,0.3508138465210193
nigga,512,145,0.0692255357352873,0.48586869622662393,0.41664316049133665
satan,806,184,-0.0162661173286791,0.48595139536754256,0.5022175126962216
block,1010,392,0.17104985460731242,0.48657770035831804,0.3155278457510056
forces,337,112,-0.022197056451351047,0.4890504611208074,0.5112475175721585
pill,305,191,0.0992403769421292,0.48982846320988643,0.3905880862677572
baker,104,102,-0.08002475065766777,0.4929027968536633,0.572927547511331
present,565,305,0.12358004238091128,0.4945419076023921,0.3709618652214808
shooting,815,384,0.016302193924686938,0.49625629172707814,0.4799540978023912
ecstasy,745,327,0.02706270665768986,0.4976290460991872,0.47056633944149734
shell,470,217,0.09079610200600334,0.4988614766839079,0.40806537467790455
sides,531,220,-0.012047403181980458,0.5010585511603451,0.5131059543423256
bore,401,295,0.07888838109982439,0.5011937084548158,0.42230532735499143
darlin,1862,1828,0.18845592251647025,0.5018841786137747,0.3134282560973044
background,207,146,-0.01308202603370585,0.502875198202906,0.5159572242366119
damn,2656,1309,0.09026458170572435,0.5030285937569846,0.41276401205126023
