token,source_count,target_count,cosine_before,cosine_after,delta
the,4441539,2175919,0.2554588986386553,0.8912034329131462,0.635744534274491
it,1281516,572474,0.08980022084316502,0.8804359873756398,0.7906357665324748
we,752979,299058,0.19220519380993806,0.904863814876169,0.7126586210662309
up,524497,234338,0.20659658100948325,0.8711641264108323,0.6645675454013491
down,336548,172654,0.15488804923318533,0.8439098765389791,0.6890218273057938
you're,320097,146910,0.14602967308318743,0.9036058468159882,0.7575761737328008
she,239843,123607,0.11484434431333419,0.9051121564243468,0.7902678121110126
life,232009,106223,0.14986278058726762,0.867212092868402,0.7173493122811343
right,187113,85570,0.1807414691168693,0.824118119194613,0.6433766500777437
through,172160,80855,0.12883170185561404,0.8833118392880839,0.7544801374324699
been,175387,76648,0.003478928499074569,0.8752392987729147,0.8717603702738401
well,115184,67475,0.2603871292890506,0.8295942070788145,0.5692070777897639
keep,142431,62203,0.04902242920286247,0.8781611046179327,0.8291386754150702
long,108150,53822,0.08677691312188868,0.8755114645533578,0.7887345514314692
were,106360,48754,0.15269615320557997,0.9021053068958285,0.7494091536902485
than,97399,43692,0.06305268425682536,0.833393175233481,0.7703404909766556
face,90254,41300,0.04013533946992277,0.8388245342611785,0.7986891947912558
believe,82148,39123,-0.008932976530403574,0.8540463270463011,0.8629793035767047
thing,74163,36666,0.18654794955711723,0.8097294300771948,0.6231814805200775
turn,77263,35038,0.095351544991254,0.8236239751326978,0.7282724301414438
show,75895,34015,0.0020607719318414958,0.8083272624534737,0.8062664905216322
same,74300,30666,0.11291924436848662,0.8463363061726601,0.7334170618041734
thought,59246,29267,0.19647432128374498,0.792054538884773,0.595580217601028
sun,62725,28318,0.05557223691246286,0.8137781094789646,0.7582058725665017
bad,51366,26074,0.0962722482063732,0.7956848245428121,0.6994125763364389
side,52239,25312,0.1216548536222341,0.811340503798832,0.689685650176598
care,47897,24233,-0.01846517766229573,0.750099532706797,0.7685647103690927
we'll,59882,23536,0.14624639070335765,0.873710979910536,0.7274645892071784
ride,45733,22643,0.1437681918150308,0.812521612566147,0.6687534207511161
maybe,49009,21371,0.1949519089531473,0.7618577463510517,0.5669058373979045
living,42635,20935,0.09229708997662672,0.7595007785894385,0.6672036886128119
sing,48868,20140,0.033335977393698125,0.7879453571676471,0.754609379773949
everybody,41841,19512,0.19074982802160084,0.7759690075264303,0.5852191795048294
mean,40426,18852,0.16189105744286938,0.8038070766353425,0.6419160191924731
whole,39230,18390,0.10569623711242454,0.80996679037079,0.7042705532583655
line,38553,17777,0.07785095193178398,0.7693785666497525,0.6915276147179685
check,21433,17171,0.10971416508669103,0.7320818475668457,0.6223676824801546
matter,34990,16524,0.10875816704984861,0.7467917865221585,0.6380336194723099
street,29790,15910,0.06622522824859389,0.7759635177270534,0.7097382894784595
beat,36304,15417,0.12682403588142366,0.7978032114172288,0.6709791755358051
wind,26900,15032,0.11136798778435117,0.8262152485003439,0.7148472607159927
we've,33048,14472,0.13821358857275795,0.8249341816582323,0.6867205930854743
music,32905,14027,0.16155976184639564,0.696118081840649,0.5345583199942534
feet,29888,13556,0.02343801998174825,0.7639415496158066,0.7405035296340584
water,26674,13329,-0.03622543116993586,0.7667833889395598,0.8030088201094956
gets,23644,12875,0.13428089367521331,0.7985804925242468,0.6642995988490334
sea,24968,12463,0.06258268771998021,0.7609081423596955,0.6983254546397153
blow,24945,12153,0.11388042379388989,0.7915558032247969,0.677675379430907
girls,30327,11938,0.1285269243902979,0.7542221758562165,0.6256952514659186
brother,14822,11571,0.19530609768156446,0.7072332216025787,0.5119271239210142
tight,20944,11158,0.10868020527988917,0.7919269218318987,0.6832467165520095
tomorrow,21561,11003,0.09379999220815058,0.767844966063735,0.6740449738555844
doing,25156,10730,0.026330541923599418,0.7596013996694007,0.7332708577458013
kick,13907,10377,-0.003048354950376593,0.7030884131289978,0.7061367680793744
skin,24601,10174,0.06546996398731555,0.7995968254990798,0.7341268615117643
standing,21236,9998,0.11552203525619398,0.8027781161133313,0.6872560808571373
apart,22331,9713,0.08947809682348436,0.8224797755836208,0.7330016787601364
rise,25239,9538,0.116114272340236,0.8059869109291633,0.6898726385889273
dog,16551,9360,0.06495414650220813,0.6526403040818188,0.5876861575796107
ways,18252,9107,0.0771651759838674,0.8059425220109441,0.7287773460270767
loved,17782,8870,0.05025057295084485,0.7477386053064503,0.6974880323556054
christmas,16090,8690,-0.060861760253002654,0.7741149475295637,0.8349767077825663
outside,19224,8511,0.08523873786659461,0.7303920801388688,0.6451533422722742
ones,20451,8186,0.05384128647968343,0.7054361465083112,0.6515948600286278
train,14294,7920,0.07614033986626631,0.7437307090027963,0.6675903691365299
human,15532,7789,0.023610389094932814,0.7176908556070432,0.6940804665121103
point,15806,7684,0.06675840114900047,0.7291968203694692,0.6624384192204688
mic,11137,7537,-0.06293303255341501,0.77804699863557,0.840980031188985
beyond,14913,7383,0.059251780319636224,0.7595933598227994,0.7003415795031632
mi,13952,7258,0.0005456732374710116,0.7434560716377003,0.7429103984002293
strange,12695,7149,0.18018360159476499,0.752634755916689,0.5724511543219241
higher,13071,7062,0.11834469318227213,0.7507921710667314,0.6324474778844592
devil,12924,6887,0.03564096261627531,0.6973948782922494,0.6617539156759742
dear,14565,6775,0.13039928517411561,0.713980985834983,0.5835817006608675
wide,13727,6664,-0.01065520417022309,0.7114488070384168,0.72210401120864
guy,13423,6539,0.20736283921715631,0.7427775289638974,0.5354146897467411
murder,11193,6450,0.135831476847604,0.6402713653613777,0.5044398885137737
someday,10847,6362,0.10423765369792148,0.7361081045526774,0.6318704508547559
longer,13139,6279,0.08124144338300814,0.7608592261447226,0.6796177827617145
dust,12259,6158,-0.004102545596796792,0.7452326462030272,0.749335191799824
glory,13202,6060,-0.033151976722940006,0.6732565975933289,0.7064085743162689
seven,10901,5970,0.09195688781983329,0.7434289203078563,0.6514720324880231
few,13570,5865,0.11843707728144191,0.8000143188960978,0.6815772416146558
closer,13157,5715,0.17870765131953034,0.7370153521172499,0.5583077007977195
shoes,12859,5628,0.14651896847031304,0.7849595732642289,0.638440604793916
lying,12050,5555,0.040884235285103404,0.7527492324933767,0.7118649972082732
rich,11031,5481,0.06996558206818479,0.696118997131803,0.6261534150636182
return,11613,5412,0.07158516453653373,0.6831543845218973,0.6115692199853635
trees,12199,5349,0.08003379523474488,0.7581354492716146,0.6781016540368697
almost,11891,5293,0.031280020460014324,0.7111731066075645,0.6798930861475502
punk,5226,5992,0.21166226809651983,0.6719779455921763,0.46031567749565644
stupid,11115,5171,0.13395934513439398,0.6630061413905202,0.5290467962561262
taken,10690,5081,0.03455476031140267,0.7585858423286088,0.7240310820172061
freak,8104,4986,0.023698009636648677,0.6183870887100422,0.5946890790733935
quite,10149,4909,0.08237146880471363,0.724433298137592,0.6420618293328784
given,10916,4845,0.11588128619638563,0.7282501415942466,0.612368855397861
flame,9720,4810,0.04606827352546055,0.7709279643893769,0.7248596908639164
faces,10361,4756,0.06092502875808003,0.7356264859538393,0.6747014571957592
paper,13259,4730,0.11432368392291464,0.7435711825486377,0.629247498625723
type,9629,4664,0.021398138235494146,0.6757017558152865,0.6543036175797923
path,11898,4575,0.07990329903245319,0.788580390726501,0.7086770916940478
asked,8886,4514,-0.035569859871275894,0.7914709710934479,0.8270408309647238
law,7456,4444,0.053879977945516855,0.7129470023892259,0.6590670244437091
motherfuckers,6097,4355,0.07516680537197631,0.7680187052943694,0.6928518999223932
winter,9767,4306,0.12673995789801434,0.7524311224472979,0.6256911645492835
paradise,6229,4206,0.06353684510853141,0.6352774083989339,0.5717405632904025
brings,8311,4155,0.11919183376608762,0.7623042144715646,0.6431123807054769
takin,6235,4092,0.07103530622234872,0.7893084478899488,0.7182731416676
rip,7092,4022,0.03067732909347894,0.7653179113519024,0.7346405822584234
machine,8003,3979,0.13661071687830928,0.6384336806453816,0.5018229637670724
pretend,10644,3943,0.12962974444690514,0.701364344930864,0.5717346004839589
weed,9976,3890,0.07956505019122208,0.7763141622011469,0.6967491120099248
wash,8054,3861,0.1252515264034285,0.7773519689143098,0.6521004425108813
bird,8081,3811,0.10092367034211877,0.6823205871024316,0.5813969167603128
prove,8119,3739,0.040139199681198584,0.6887839914268628,0.6486447917456641
dress,8070,3709,0.018025413444390903,0.7890233669531211,0.7709979535087302
endless,8642,3689,0.08719273398191808,0.7580705513192023,0.6708778173372842
figure,8000,3642,0.12320987688949323,0.6601799993834707,0.5369701224939775
lock,8536,3593,-0.010680484872547077,0.7164926917127477,0.7271731765852947
cops,7463,3538,0.07426225753786311,0.8071095106253149,0.7328472530874518
nature,5834,3496,-0.025961310498316136,0.6665181869344329,0.6924794974327491
trick,5215,3477,0.06771983148284069,0.610342901452426,0.5426230699695853
join,6671,3437,0.07491257431784429,0.7055812724061304,0.6306686980882862
bottle,8264,3399,-0.04706859166406875,0.6800350656320437,0.7271036572961125
one's,7639,3354,0.012035198429084348,0.596532890374293,0.5844976919452087
pulled,6106,3310,0.01484749350233341,0.7781980121733538,0.7633505186710204
burns,7314,3286,0.10424156514916327,0.741220776836724,0.6369792116875608
ok,9820,3247,0.09610820413202414,0.6373109207546128,0.5412027166225887
cares,5804,3221,0.08590079386082264,0.670911761295959,0.5850109674351364
passing,6933,3184,0.13167939664270426,0.7052068975856739,0.5735275009429697
youth,6111,3149,0.013809380690989307,0.6184459776517814,0.6046365969607921
asking,7539,3120,0.07297504221956723,0.7494389614001731,0.6764639191806059
crawl,6448,3090,0.03428940012392351,0.7441969466253401,0.7099075465014166
re,7924,3055,0.09253112763485927,0.47602271581934336,0.3834915881844841
cast,6916,3023,0.006713974050343824,0.6925732849602286,0.6858593109098848
shows,7291,3000,0.022073985339245608,0.7649100632701766,0.742836077930931
changing,7117,2976,0.045245618960869136,0.7307728594533925,0.6855272404925234
mom,6460,2942,0.07291210939102903,0.7022620855583402,0.6293499761673113
letter,5848,2919,0.10985038946973852,0.7080271475776592,0.5981767581079207
wasted,8298,2896,0.10236289402532163,0.6659161056169345,0.5635532115916129
danger,5008,2869,0.09027079263397808,0.5543754980128346,0.4641047053788565
jail,5182,2836,0.009674540916348595,0.7089610948848989,0.6992865539685503
super,6017,2820,0.01190315996655724,0.5014574470527116,0.48955428708615434
shines,5517,2808,0.06468762703273712,0.7071751796068024,0.6424875525740653
wack,3613,2783,-0.07377235419887933,0.6514617109528484,0.7252340651517277
beg,5601,2759,0.09001191815944425,0.6780228694728248,0.5880109513133805
sail,5416,2720,0.00790273378218435,0.7050371921714986,0.6971344583893143
that'll,6209,2701,0.026986960753573867,0.6762002624467998,0.6492133016932259
difference,5682,2676,0.08388035561629249,0.729003259189816,0.6451229035735235
fields,5141,2664,0.03696108503985604,0.7412350318405052,0.7042739468006491
ugly,5313,2652,0.10647351218599266,0.5900378676195766,0.4835643554335839
began,4711,2620,0.1469487263633018,0.7612051092109093,0.6142563828476075
shots,7183,2606,-0.012035043632843134,0.7123896079035883,0.7244246515364314
cloud,5446,2590,0.06053304926347883,0.6888831649751196,0.6283501157116408
worst,7534,2573,0.08855694801342827,0.7004297865038114,0.6118728384903831
plain,4508,2553,0.14852556962094557,0.6476984157134646,0.4991728460925191
happens,5874,2539,0.028338787226394532,0.67399137161463,0.6456525843882355
grand,5333,2524,0.010459488299934431,0.4728660090248197,0.46240652072488525
inna,4599,2507,0.14169894746397024,0.7360094574660074,0.5943105100020372
leavin,3976,2487,0.10625513702369838,0.7052249325982227,0.5989697955745243
third,4406,2469,0.050145363707010525,0.6645997790957118,0.6144544153887013
touched,4576,2437,0.024404051363953797,0.6887679790938182,0.6643639277298643
travel,5041,2405,0.06549071340455374,0.6766941068472614,0.6112033934427077
although,4207,2384,0.09060562254239027,0.5705616382694418,0.4799560157270516
roses,4039,2370,0.09115083974976568,0.660492162765249,0.5693413230154833
satan,4168,2359,-0.010561944149224383,0.6610996506050503,0.6716615947542747
fading,6923,2340,0.09206192462583322,0.7501449786280703,0.6580830540022371
pen,6129,2326,0.12004783084574042,0.6843401424412978,0.5642923115955574
exactly,5292,2307,0.07505100929555353,0.7055631772353106,0.6305121679397571
zone,5135,2288,-0.03798619860434768,0.6663924411996531,0.7043786398040008
whether,5557,2274,0.023804674590839063,0.7131769253227656,0.6893722507319265
fist,5490,2261,0.13619411712673973,0.6861971119846534,0.5500029948579137
confused,5178,2239,0.08297707266026072,0.6988119883563693,0.6158349156961085
jungle,2952,2221,0.14347635309312406,0.5523144056189536,0.40883805252582955
emotions,3853,2201,0.12783074174481368,0.6553522803089171,0.5275215385641034
coffee,4022,2187,0.14618899185637624,0.656904777314557,0.5107157854581807
yuh,9209,2172,0.04331629969472383,0.7529176670219943,0.7096013673272704
swim,4785,2154,0.00751083657602298,0.7316719934297742,0.7241611568537512
damned,4534,2130,0.07063246767029963,0.6144171595611495,0.5437846918908499
lyrical,2420,2115,-0.01245825420623747,0.5854048797395415,0.597863133945779
forty,3128,2092,0.11783903236624409,0.6157519342621356,0.4979129018958915
plenty,3967,2073,0.02075005333234188,0.6169610972163635,0.5962110438840216
blowin,3280,2055,0.06421509082026189,0.6659719602913831,0.6017568694711212
innocence,4329,2047,0.09185097053704076,0.6560283473456241,0.5641773768085834
emotion,3054,2036,0.15780008282992783,0.5797609796114436,0.4219608967815157
cure,4360,2017,0.12998677994525082,0.6461409330749828,0.516154153129732
jealous,3285,2008,0.06849949941705474,0.5724127909938909,0.5039132915768361
