token,source_count,target_count,cosine_before,cosine_after,delta
by,673738,195839,-0.0845658318459387,0.883886083938454,0.9684519157843927
scream,49531,15948,-0.07375487376187044,0.8789352172860383,0.9526900910479087
on,4498020,925218,-0.07723039490925182,0.8743615237750796,0.9515919186843314
nice,88372,18960,-0.11091243117579482,0.8395882255285744,0.9505006567043692
off,650439,122387,-0.08255677298225791,0.866294573157919,0.948851346140177
fear,125049,39366,-0.05131175438592762,0.8965559437455619,0.9478676981314895
cute,15885,2840,-0.15201602094688227,0.791844225243832,0.9438602461907143
are,1251507,354554,-0.019967922246722603,0.9229167424436219,0.9428846646903445
paper,71903,13259,-0.14327693461306162,0.797822840326075,0.9410997749391365
they're,146086,40979,-0.03609505738735658,0.904759387286353,0.9408544446737095
air,108306,31863,-0.05184696002002743,0.8875689285154302,0.9394158885354577
open,166760,47353,-0.041511924416673035,0.8960968271236902,0.9376087515403633
cup,52963,6354,-0.15623730856644402,0.7809555157494019,0.9371928243158459
real,426679,76293,-0.09186939083701727,0.8432640742745798,0.9351334651115971
turned,75337,20090,-0.08260454727483035,0.8523808054302482,0.9349853527050785
full,142725,32098,-0.07552358926759084,0.8585519293757152,0.9340755186433061
drink,99995,22585,-0.07092164037557802,0.8604905165909879,0.9314121569665659
away,620282,198691,-0.009901391667982835,0.9205476533901222,0.9304490450581051
flowers,22858,7039,-0.07515248667183547,0.8550491859544656,0.930201672626301
every,553546,131280,-0.010723558407806096,0.9192509837890578,0.9299745421968639
am,583139,130818,-0.04960488387773981,0.8798142342920018,0.9294191181697415
eat,108404,19057,-0.10494099164730973,0.8227862133185218,0.9277272049658315
went,129648,29400,-0.056225510379564386,0.8701897818320532,0.9264152922116176
hit,378832,49287,-0.07533121543904876,0.8496090522201394,0.9249402676591881
as,895466,255163,-0.03317402775028386,0.8905768945564879,0.9237509223067718
birds,26986,7731,-0.06530187365488717,0.8576949926184332,0.9229968662733203
from,1298425,344108,-0.03952637130014292,0.8827173623235709,0.9222437336237138
out,1786187,401231,-0.03270352111729974,0.8847641353809843,0.917467656498284
rest,111109,27930,-0.059532726780442094,0.8570291928584981,0.9165619196389402
believe,262228,82148,-0.02073517304652931,0.8933326591991633,0.9140678322456925
over,473449,126243,-0.02481588871918965,0.8883857257373624,0.913201614456552
raised,27954,6513,-0.06711410368245668,0.8459558422488942,0.9130699459313509
hands,206495,59357,-0.011776936739125703,0.9010171686347167,0.9127941053738424
smell,39195,9978,-0.032988279147551,0.8796859380332764,0.9126742171808274
turn,301546,77263,-0.03936687275128369,0.8726856647801431,0.9120525375314268
years,121869,37185,0.002903481331011974,0.9143682912020022,0.9114648098709903
long,374258,108150,-0.03216038868452428,0.8786425278185735,0.9108029165030979
shirt,26594,5214,-0.09984972443676134,0.808927356844777,0.9087770812815383
hard,357567,77808,-0.05629957458738043,0.851737052266774,0.9080366268541544
into,413549,115338,-0.01371808468366464,0.893922141952859,0.9076402266365237
feel,932195,198372,-0.009845058765073425,0.8957300871079479,0.9055751458730213
peace,96675,23800,-0.03494905282859276,0.870240478417333,0.9051895312459257
many,186704,47982,0.007513625654020022,0.9125283964386641,0.9050147707846441
come,912974,264349,-0.031284662075869024,0.8731855245131259,0.9044701865889949
dice,15126,3312,-0.08675079918825672,0.8177068856767397,0.9044576848649963
nuh,20706,5309,-0.0379936641073538,0.8654991773159529,0.9034928414233068
touch,131783,36442,-0.011054357973353284,0.8921097769489339,0.9031641349222872
dressed,19081,5756,-0.061253926791673075,0.84116268560449,0.9024166123961631
clouds,48824,12932,-0.04440105099627888,0.8578670967068961,0.902268147703175
sat,15105,4508,-0.049710669321164996,0.8523856753418453,0.9020963446630103
plate,23977,3121,-0.09143926904418374,0.8105123339166588,0.9019516029608425
face,356682,90254,-0.008358562741405971,0.8918322568546843,0.9001908195960903
too,705479,148594,-0.011858381840046074,0.8882323616467919,0.9000907434868379
tell,785827,159049,0.011383920273017075,0.9111758410832991,0.899791920810282
in,6054495,1424548,0.00257578865016745,0.9009192785894965,0.898343489939329
bed,108179,25946,-0.027201666562636503,0.8710613770285116,0.8982630435911481
pen,33787,6129,-0.10078626223665568,0.7966217657052637,0.8974080279419193
thing,291384,74163,-0.029442419718730392,0.8678414093499112,0.8972838290686416
brought,46081,11274,-0.03936372934311652,0.857373119751175,0.8967368490942915
lights,113346,25400,-0.013029134736343564,0.8834255647466132,0.8964546994829568
cake,31859,3950,-0.10316736078362156,0.7916671854940889,0.8948345462777104
path,45108,11898,-0.007545874087862087,0.8870355266386982,0.8945814007265603
sing,137822,48868,-0.03530766988126472,0.858855721095998,0.8941633909772627
good,521351,121884,-0.05452034412630548,0.8386289891399915,0.893149333266297
burning,76149,23805,-0.003958201653936243,0.8886384613938962,0.8925966630478325
breathe,87742,23935,-0.015200378005858398,0.8769736697043833,0.8921740477102417
makin,39028,8872,-0.013159626755427815,0.8789651114013758,0.8921247381568036
corner,37395,11240,-0.09059455986487795,0.8015199381200682,0.8921144979849461
than,430584,97399,3.218591998425946e-05,0.8909879916162822,0.890955805696298
enough,222039,51447,-0.027729675658249624,0.8632126696274727,0.8909423452857222
use,97094,22307,-0.06171570935831791,0.8291774735494379,0.8908931829077559
feelin,76128,13107,-0.05850580237206667,0.8320239068116451,0.8905297091837118
coffee,16044,4022,-0.1373416495314784,0.7530377441916327,0.8903793937231111
grill,6829,2842,-0.15351133787217497,0.7366454066264694,0.8901567444986443
burn,118934,33243,0.009938347437478387,0.8997518079152185,0.8898134604777401
listen,147240,36067,0.006962318111856209,0.8964685666781396,0.8895062485662834
right,810425,187113,-0.019493814778647305,0.8696182931332073,0.8891121079118546
inna,19065,4599,-0.06931861657410548,0.8194448173612794,0.8887634339353849
mess,63449,12154,-0.040600583988450574,0.8480324708236386,0.8886330548120892
heat,61705,14985,-0.05859544608806249,0.8299916612386231,0.8885871073266856
far,195018,56908,-0.009993759683997974,0.8780692032160806,0.8880629629000786
oven,4394,751,-0.15405694466290717,0.7334686614632613,0.8875256061261685
sitting,54770,11187,-0.021253218448754156,0.8655553724510865,0.8868085908998407
times,166310,43306,-0.018280227814023782,0.8683781806837008,0.8866584084977246
minds,33593,9471,-0.01430550235419785,0.8722066434641564,0.8865121458183542
stood,18531,6670,-0.03081170476941856,0.8556532293763034,0.8864649341457219
ready,163198,40273,0.0036342650606434913,0.8900553087257673,0.8864210436651239
an,492123,120556,-0.0057221937536975215,0.8798585909602329,0.8855807847139304
pointed,2924,989,-0.09810544375282051,0.787029872587014,0.8851353163398344
knife,31944,8119,-0.05093638924505799,0.833830434427934,0.884766823672992
jump,62170,14739,-0.048413820055432225,0.83626096966156,0.8846747897169923
spend,75678,14084,-0.0281522482392325,0.8560323897416298,0.8841846379808622
presence,18373,4054,-0.11509042800444909,0.7689178950641671,0.8840083230686162
land,75544,26212,-0.04192706862111875,0.8413444438868631,0.8832715125079819
grabbed,6394,1592,-0.0645774345552277,0.8181283616316143,0.882705796186842
new,414832,90175,-0.05408668407696662,0.8283208407343721,0.8824075248113387
drove,11018,3413,-0.03383685534412796,0.8481986168212241,0.882035472165352
heavens,12229,4138,-0.05455965061284397,0.8273959279443331,0.8819555785571771
breath,86685,26587,0.02049464876330506,0.9024405649612215,0.8819459161979164
her,986452,209600,0.0035606995293131598,0.8850958429180018,0.8815351433886887
