bin_label,start_year,end_year,target,count,per_million_tokens
1960_1969,1960,1969,love,70949,10217.378
1960_1969,1960,1969,heart,17833,2568.133
1960_1969,1960,1969,baby,37790,5442.144
1960_1969,1960,1969,kiss,5224,752.309
1960_1969,1960,1969,touch,2168,312.214
1960_1969,1960,1969,forever,2547,366.794
1960_1969,1960,1969,mine,8030,1156.402
1960_1969,1960,1969,desire,574,82.662
1960_1969,1960,1969,hurt,3138,451.904
1960_1969,1960,1969,broken,1698,244.529
1970_1979,1970,1979,love,116381,9205.455
1970_1979,1970,1979,heart,19393,1533.939
1970_1979,1970,1979,baby,54815,4335.734
1970_1979,1970,1979,kiss,3952,312.594
1970_1979,1970,1979,touch,5107,403.951
1970_1979,1970,1979,forever,5012,396.437
1970_1979,1970,1979,mine,9430,745.89
1970_1979,1970,1979,desire,1225,96.895
1970_1979,1970,1979,hurt,3831,303.023
1970_1979,1970,1979,broken,2730,215.936
1980_1989,1980,1989,love,166637,8108.332
1980_1989,1980,1989,heart,45475,2212.752
1980_1989,1980,1989,baby,65793,3201.399
1980_1989,1980,1989,kiss,7644,371.947
1980_1989,1980,1989,touch,10373,504.736
1980_1989,1980,1989,forever,10980,534.272
1980_1989,1980,1989,mine,13643,663.85
1980_1989,1980,1989,desire,3670,178.577
1980_1989,1980,1989,hurt,5856,284.945
1980_1989,1980,1989,broken,5802,282.317
1990_1999,1990,1999,love,260428,5246.528
1990_1999,1990,1999,heart,77943,1570.223
1990_1999,1990,1999,baby,124779,2513.771
1990_1999,1990,1999,kiss,17265,347.817
1990_1999,1990,1999,touch,18698,376.686
1990_1999,1990,1999,forever,25365,510.998
1990_1999,1990,1999,mine,28854,581.287
1990_1999,1990,1999,desire,6180,124.501
1990_1999,1990,1999,hurt,12797,257.806
1990_1999,1990,1999,broken,13413,270.215
2000_2009,2000,2009,love,427061,4090.839
2000_2009,2000,2009,heart,147343,1411.406
2000_2009,2000,2009,baby,193959,1857.943
2000_2009,2000,2009,kiss,32832,314.499
2000_2009,2000,2009,touch,36442,349.08
2000_2009,2000,2009,forever,49985,478.809
2000_2009,2000,2009,mine,52134,499.394
2000_2009,2000,2009,desire,10163,97.352
2000_2009,2000,2009,hurt,25659,245.789
2000_2009,2000,2009,broken,34466,330.152
2010_2019,2010,2019,love,1770599,3854.627
2010_2019,2010,2019,heart,563884,1227.586
2010_2019,2010,2019,baby,845475,1840.615
2010_2019,2010,2019,kiss,106790,232.484
2010_2019,2010,2019,touch,131783,286.894
2010_2019,2010,2019,forever,176296,383.8
2010_2019,2010,2019,mine,218037,474.671
2010_2019,2010,2019,desire,28489,62.021
2010_2019,2010,2019,hurt,114450,249.16
2010_2019,2010,2019,broken,124095,270.157
