bin_label,start_year,end_year,threshold,vocab_at_or_above_threshold
1960_1969,1960,1969,5,19056
1960_1969,1960,1969,10,13003
1960_1969,1960,1969,20,8710
1960_1969,1960,1969,50,5042
1970_1979,1970,1979,5,27028
1970_1979,1970,1979,10,18505
1970_1979,1970,1979,20,12401
1970_1979,1970,1979,50,7203
1980_1989,1980,1989,5,36476
1980_1989,1980,1989,10,25610
1980_1989,1980,1989,20,17416
1980_1989,1980,1989,50,10265
1990_1999,1990,1999,5,64849
1990_1999,1990,1999,10,45641
1990_1999,1990,1999,20,31843
1990_1999,1990,1999,50,19530
2000_2009,2000,2009,5,91517
2000_2009,2000,2009,10,63622
2000_2009,2000,2009,20,45264
2000_2009,2000,2009,50,28606
2010_2019,2010,2019,5,203443
2010_2019,2010,2019,10,133707
2010_2019,2010,2019,20,91226
2010_2019,2010,2019,50,57514
