token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
gotcha,1980_1989,1990_1999,0.23128564655780792,0.7687143534421921,138,358,138,358,248.0,2.5942028985507246,True,False,False,False,False,False,
whoah,1980_1989,1990_1999,0.3076481521129608,0.6923518478870392,156,359,156,359,257.5,2.301282051282051,True,False,False,False,False,False,
peoples,1980_1989,1990_1999,0.3102670907974243,0.6897329092025757,113,1091,113,1091,602.0,9.654867256637168,True,False,False,False,False,False,
anna,1980_1989,1990_1999,0.31253886222839355,0.6874611377716064,118,417,118,417,267.5,3.5338983050847457,True,False,False,False,False,False,
spellbound,1980_1989,1990_1999,0.31324028968811035,0.6867597103118896,101,217,101,217,159.0,2.1485148514851486,True,False,False,False,False,False,
buddha,1980_1989,1990_1999,0.3149193823337555,0.6850806176662445,141,665,141,665,403.0,4.716312056737588,True,False,False,False,False,False,
twin,1980_1989,1990_1999,0.3166796863079071,0.6833203136920929,121,644,121,644,382.5,5.322314049586777,True,False,False,False,False,False,
etc,1980_1989,1990_1999,0.3183794915676117,0.6816205084323883,242,354,242,354,298.0,1.462809917355372,True,False,False,False,False,False,
robot,1980_1989,1990_1999,0.31956037878990173,0.6804396212100983,249,313,249,313,281.0,1.2570281124497993,True,False,False,False,False,False,
latin,1980_1989,1990_1999,0.3258623778820038,0.6741376221179962,223,410,223,410,316.5,1.8385650224215246,True,False,False,False,False,False,
woo,1980_1989,1990_1999,0.3260522186756134,0.6739477813243866,2239,3386,2239,3386,2812.5,1.5122822688700313,True,False,False,False,False,False,
mexican,1980_1989,1990_1999,0.3312152922153473,0.6687847077846527,196,532,196,532,364.0,2.7142857142857144,True,False,False,False,False,False,
loco,1980_1989,1990_1999,0.3341202735900879,0.6658797264099121,285,563,285,563,424.0,1.975438596491228,True,False,False,False,False,False,
drama,1980_1989,1990_1999,0.33587032556533813,0.6641296744346619,185,2364,185,2364,1274.5,12.778378378378378,True,False,False,False,False,False,
bud,1980_1989,1990_1999,0.3359515368938446,0.6640484631061554,130,942,130,942,536.0,7.246153846153846,True,False,False,False,False,False,
victoria,1980_1989,1990_1999,0.33786600828170776,0.6621339917182922,107,206,107,206,156.5,1.925233644859813,True,False,False,False,False,False,
dutch,1980_1989,1990_1999,0.33953025937080383,0.6604697406291962,113,340,113,340,226.5,3.0088495575221237,True,False,False,False,False,False,
click,1980_1989,1990_1999,0.3417819142341614,0.6582180857658386,275,2720,275,2720,1497.5,9.89090909090909,True,False,False,False,False,False,
ski,1980_1989,1990_1999,0.34352704882621765,0.6564729511737823,233,543,233,543,388.0,2.3304721030042916,True,False,False,False,False,False,
shaft,1980_1989,1990_1999,0.3457034230232239,0.6542965769767761,101,268,101,268,184.5,2.6534653465346536,True,False,False,False,False,False,
coz,1980_1989,1990_1999,0.34673771262168884,0.6532622873783112,211,1196,211,1196,703.5,5.668246445497631,True,False,False,False,False,False,
yak,1980_1989,1990_1999,0.34859856963157654,0.6514014303684235,139,279,139,279,209.0,2.0071942446043165,True,False,False,False,False,False,
tat,1980_1989,1990_1999,0.3487381637096405,0.6512618362903595,116,1276,116,1276,696.0,11.0,True,False,False,False,False,False,
boot,1980_1989,1990_1999,0.3519366383552551,0.6480633616447449,240,986,240,986,613.0,4.108333333333333,True,False,False,False,False,False,
sample,1980_1989,1990_1999,0.35249048471450806,0.6475095152854919,142,1086,142,1086,614.0,7.647887323943662,True,False,False,False,False,False,
willie,1980_1989,1990_1999,0.35280078649520874,0.6471992135047913,307,879,307,879,593.0,2.8631921824104234,True,False,False,False,False,False,
ali,1980_1989,1990_1999,0.3566768169403076,0.6433231830596924,153,393,153,393,273.0,2.5686274509803924,True,False,False,False,False,False,
shocking,1980_1989,1990_1999,0.3577696979045868,0.6422303020954132,179,244,179,244,211.5,1.3631284916201116,True,False,False,False,False,False,
mostly,1980_1989,1990_1999,0.3583363890647888,0.6416636109352112,177,567,177,567,372.0,3.2033898305084745,True,False,False,False,False,False,
slang,1980_1989,1990_1999,0.3589138388633728,0.6410861611366272,129,1334,129,1334,731.5,10.34108527131783,True,False,False,False,False,False,
earl,1980_1989,1990_1999,0.3594691753387451,0.6405308246612549,116,243,116,243,179.5,2.0948275862068964,True,False,False,False,False,False,
meantime,1980_1989,1990_1999,0.3614554703235626,0.6385445296764374,108,288,108,288,198.0,2.6666666666666665,True,False,False,False,False,False,
yep,1980_1989,1990_1999,0.36312976479530334,0.6368702352046967,136,579,136,579,357.5,4.257352941176471,True,False,False,False,False,False,
mickey,1980_1989,1990_1999,0.36363646388053894,0.6363635361194611,222,502,222,502,362.0,2.2612612612612613,True,False,False,False,False,False,
raving,1980_1989,1990_1999,0.3638686537742615,0.6361313462257385,120,194,120,194,157.0,1.6166666666666667,True,False,False,False,False,False,
bob,1980_1989,1990_1999,0.3645837903022766,0.6354162096977234,562,1425,562,1425,993.5,2.5355871886120998,True,False,False,False,False,False,
connect,1980_1989,1990_1999,0.3649369180202484,0.6350630819797516,139,863,139,863,501.0,6.2086330935251794,True,False,False,False,False,False,
radical,1980_1989,1990_1999,0.36565449833869934,0.6343455016613007,141,389,141,389,265.0,2.7588652482269502,True,False,False,False,False,False,
surfing,1980_1989,1990_1999,0.36706408858299255,0.6329359114170074,119,223,119,223,171.0,1.8739495798319328,True,False,False,False,False,False,
madonna,1980_1989,1990_1999,0.3673804998397827,0.6326195001602173,106,326,106,326,216.0,3.0754716981132075,True,False,False,False,False,False,
rodney,1980_1989,1990_1999,0.3680720329284668,0.6319279670715332,104,356,104,356,230.0,3.423076923076923,True,False,False,False,False,False,
dummy,1980_1989,1990_1999,0.36932408809661865,0.6306759119033813,135,480,135,480,307.5,3.5555555555555554,True,False,False,False,False,False,
hare,1980_1989,1990_1999,0.36950355768203735,0.6304964423179626,139,336,139,336,237.5,2.41726618705036,True,False,False,False,False,False,
league,1980_1989,1990_1999,0.37083038687705994,0.6291696131229401,148,416,148,416,282.0,2.810810810810811,True,False,False,False,False,False,
oho,1980_1989,1990_1999,0.37151142954826355,0.6284885704517365,111,123,111,123,117.0,1.1081081081081081,True,False,False,False,False,False,
chi,1980_1989,1990_1999,0.3717229962348938,0.6282770037651062,271,679,271,679,475.0,2.5055350553505535,True,False,False,False,False,False,
method,1980_1989,1990_1999,0.3731643855571747,0.6268356144428253,225,605,225,605,415.0,2.688888888888889,True,False,False,False,False,False,
reel,1980_1989,1990_1999,0.3745172619819641,0.6254827380180359,197,597,197,597,397.0,3.030456852791878,True,False,False,False,False,False,
ducks,1980_1989,1990_1999,0.37575453519821167,0.6242454648017883,220,291,220,291,255.5,1.3227272727272728,True,False,False,False,False,False,
strictly,1980_1989,1990_1999,0.3758297860622406,0.6241702139377594,234,1106,234,1106,670.0,4.726495726495727,True,False,False,False,False,False,
suzie,1980_1989,1990_1999,0.3761805295944214,0.6238194704055786,119,159,119,159,139.0,1.3361344537815125,True,False,False,False,False,False,
splash,1980_1989,1990_1999,0.3768375813961029,0.6231624186038971,166,418,166,418,292.0,2.5180722891566263,True,False,False,False,False,False,
banana,1980_1989,1990_1999,0.37721407413482666,0.6227859258651733,245,502,245,502,373.5,2.048979591836735,True,False,False,False,False,False,
skid,1980_1989,1990_1999,0.37828224897384644,0.6217177510261536,124,154,124,154,139.0,1.2419354838709677,True,False,False,False,False,False,
ere,1980_1989,1990_1999,0.3785567879676819,0.6214432120323181,106,153,106,153,129.5,1.4433962264150944,True,False,False,False,False,False,
daring,1980_1989,1990_1999,0.38175296783447266,0.6182470321655273,132,180,132,180,156.0,1.3636363636363635,True,False,False,False,False,False,
grind,1980_1989,1990_1999,0.3846336007118225,0.6153663992881775,361,1593,361,1593,977.0,4.412742382271468,True,False,False,False,False,False,
wan,1980_1989,1990_1999,0.3851413428783417,0.6148586571216583,180,540,180,540,360.0,3.0,True,False,False,False,False,False,
mobile,1980_1989,1990_1999,0.38528236746788025,0.6147176325321198,141,408,141,408,274.5,2.893617021276596,True,False,False,False,False,False,
yer,1980_1989,1990_1999,0.3854212164878845,0.6145787835121155,298,749,298,749,523.5,2.5134228187919465,True,False,False,False,False,False,
techno,1980_1989,1990_1999,0.3856769800186157,0.6143230199813843,118,204,118,204,161.0,1.728813559322034,True,False,False,False,False,False,
generate,1980_1989,1990_1999,0.38611653447151184,0.6138834655284882,113,188,113,188,150.5,1.663716814159292,True,False,False,False,False,False,
howard,1980_1989,1990_1999,0.3882529139518738,0.6117470860481262,141,444,141,444,292.5,3.148936170212766,True,False,False,False,False,False,
donkey,1980_1989,1990_1999,0.3889453709125519,0.6110546290874481,135,369,135,369,252.0,2.7333333333333334,True,False,False,False,False,False,
breakout,1980_1989,1990_1999,0.38914942741394043,0.6108505725860596,200,148,148,200,174.0,1.3513513513513513,True,False,False,False,False,False,
skins,1980_1989,1990_1999,0.38923144340515137,0.6107685565948486,142,831,142,831,486.5,5.852112676056338,True,False,False,False,False,False,
rave,1980_1989,1990_1999,0.3902284502983093,0.6097715497016907,241,318,241,318,279.5,1.3195020746887967,True,False,False,False,False,False,
post,1980_1989,1990_1999,0.3902285695075989,0.6097714304924011,370,1020,370,1020,695.0,2.7567567567567566,True,False,False,False,False,False,
jordan,1980_1989,1990_1999,0.39057037234306335,0.6094296276569366,170,455,170,455,312.5,2.676470588235294,True,False,False,False,False,False,
treatment,1980_1989,1990_1999,0.3910392224788666,0.6089607775211334,140,231,140,231,185.5,1.65,True,False,False,False,False,False,
link,1980_1989,1990_1999,0.3912026584148407,0.6087973415851593,174,698,174,698,436.0,4.011494252873563,True,False,False,False,False,False,
frankie,1980_1989,1990_1999,0.39121052622795105,0.608789473772049,161,238,161,238,199.5,1.4782608695652173,True,False,False,False,False,False,
sole,1980_1989,1990_1999,0.39170196652412415,0.6082980334758759,197,395,197,395,296.0,2.00507614213198,True,False,False,False,False,False,
wanderer,1980_1989,1990_1999,0.3928690552711487,0.6071309447288513,109,120,109,120,114.5,1.1009174311926606,True,False,False,False,False,False,
whip,1980_1989,1990_1999,0.394208699464798,0.605791300535202,752,1934,752,1934,1343.0,2.5718085106382977,True,False,False,False,False,False,
moscow,1980_1989,1990_1999,0.3942939043045044,0.6057060956954956,184,163,163,184,173.5,1.1288343558282208,True,False,False,False,False,False,
ninja,1980_1989,1990_1999,0.39504656195640564,0.6049534380435944,129,264,129,264,196.5,2.046511627906977,True,False,False,False,False,False,
stoned,1980_1989,1990_1999,0.3955254852771759,0.6044745147228241,304,980,304,980,642.0,3.223684210526316,True,False,False,False,False,False,
walter,1980_1989,1990_1999,0.39554357528686523,0.6044564247131348,197,134,134,197,165.5,1.4701492537313432,True,False,False,False,False,False,
funkin,1980_1989,1990_1999,0.39611342549324036,0.6038865745067596,116,196,116,196,156.0,1.6896551724137931,True,False,False,False,False,False,
fantastic,1980_1989,1990_1999,0.3970566689968109,0.6029433310031891,242,661,242,661,451.5,2.731404958677686,True,False,False,False,False,False,
camel,1980_1989,1990_1999,0.3972376883029938,0.6027623116970062,225,147,147,225,186.0,1.530612244897959,True,False,False,False,False,False,
dan,1980_1989,1990_1999,0.3973258137702942,0.6026741862297058,201,549,201,549,375.0,2.7313432835820897,True,False,False,False,False,False,
wreck,1980_1989,1990_1999,0.3975967466831207,0.6024032533168793,391,3037,391,3037,1714.0,7.767263427109975,True,False,False,False,False,False,
nonsense,1980_1989,1990_1999,0.3978573977947235,0.6021426022052765,114,525,114,525,319.5,4.605263157894737,True,False,False,False,False,False,
character,1980_1989,1990_1999,0.39943793416023254,0.6005620658397675,111,398,111,398,254.5,3.5855855855855854,True,False,False,False,False,False,
cycle,1980_1989,1990_1999,0.4001232981681824,0.5998767018318176,126,547,126,547,336.5,4.341269841269841,True,False,False,False,False,False,
banks,1980_1989,1990_1999,0.40073829889297485,0.5992617011070251,264,809,264,809,536.5,3.0643939393939394,True,False,False,False,False,False,
sup,1980_1989,1990_1999,0.4007595479488373,0.5992404520511627,102,216,102,216,159.0,2.1176470588235294,True,False,False,False,False,False,
vacuum,1980_1989,1990_1999,0.40091708302497864,0.5990829169750214,124,324,124,324,224.0,2.6129032258064515,True,False,False,False,False,False,
dreadlocks,1980_1989,1990_1999,0.4009621739387512,0.5990378260612488,231,135,135,231,183.0,1.711111111111111,True,False,False,False,False,False,
eah,1980_1989,1990_1999,0.4013358950614929,0.5986641049385071,102,232,102,232,167.0,2.2745098039215685,True,False,False,False,False,False,
sandy,1980_1989,1990_1999,0.4014663100242615,0.5985336899757385,155,305,155,305,230.0,1.967741935483871,True,False,False,False,False,False,
sensitive,1980_1989,1990_1999,0.402629017829895,0.597370982170105,224,544,224,544,384.0,2.4285714285714284,True,False,False,False,False,False,
cap,1980_1989,1990_1999,0.40356579422950745,0.5964342057704926,210,1800,210,1800,1005.0,8.571428571428571,True,False,False,False,False,False,
excess,1980_1989,1990_1999,0.4040815532207489,0.5959184467792511,105,242,105,242,173.5,2.3047619047619046,True,False,False,False,False,False,
camp,1980_1989,1990_1999,0.4041859209537506,0.5958140790462494,206,874,206,874,540.0,4.242718446601942,True,False,False,False,False,False,
stress,1980_1989,1990_1999,0.40468186140060425,0.5953181385993958,183,2056,183,2056,1119.5,11.234972677595628,True,False,False,False,False,False,
lunatic,1980_1989,1990_1999,0.4050131142139435,0.5949868857860565,119,537,119,537,328.0,4.512605042016807,True,False,False,False,False,False,
zombie,1980_1989,1990_1999,0.4050854742527008,0.5949145257472992,177,383,177,383,280.0,2.1638418079096047,True,False,False,False,False,False,
carnival,1980_1989,1990_1999,0.40572094917297363,0.5942790508270264,217,450,217,450,333.5,2.0737327188940093,True,False,False,False,False,False,
buddy,1980_1989,1990_1999,0.40603163838386536,0.5939683616161346,787,1181,787,1181,984.0,1.5006353240152477,True,False,False,False,False,False,
grill,1980_1989,1990_1999,0.4062472879886627,0.5937527120113373,122,1009,122,1009,565.5,8.270491803278688,True,False,False,False,False,False,
logic,1980_1989,1990_1999,0.40636056661605835,0.5936394333839417,167,661,167,661,414.0,3.9580838323353293,True,False,False,False,False,False,
british,1980_1989,1990_1999,0.40704450011253357,0.5929554998874664,163,251,163,251,207.0,1.539877300613497,True,False,False,False,False,False,
triangle,1980_1989,1990_1999,0.40707963705062866,0.5929203629493713,106,160,106,160,133.0,1.509433962264151,True,False,False,False,False,False,
legacy,1980_1989,1990_1999,0.4074659049510956,0.5925340950489044,132,493,132,493,312.5,3.734848484848485,True,False,False,False,False,False,
revival,1980_1989,1990_1999,0.40772101283073425,0.5922789871692657,158,237,158,237,197.5,1.5,True,False,False,False,False,False,
mines,1980_1989,1990_1999,0.4088367819786072,0.5911632180213928,122,826,122,826,474.0,6.770491803278689,True,False,False,False,False,False,
shady,1980_1989,1990_1999,0.40890026092529297,0.591099739074707,180,1124,180,1124,652.0,6.2444444444444445,True,False,False,False,False,False,
carrie,1980_1989,1990_1999,0.4102290868759155,0.5897709131240845,168,101,101,168,134.5,1.6633663366336633,True,False,False,False,False,False,
minor,1980_1989,1990_1999,0.41027379035949707,0.5897262096405029,144,455,144,455,299.5,3.1597222222222223,True,False,False,False,False,False,
circuit,1980_1989,1990_1999,0.4108324348926544,0.5891675651073456,127,174,127,174,150.5,1.3700787401574803,True,False,False,False,False,False,
unlike,1980_1989,1990_1999,0.4115373194217682,0.5884626805782318,232,412,232,412,322.0,1.7758620689655173,True,False,False,False,False,False,
lee,1980_1989,1990_1999,0.41166794300079346,0.5883320569992065,694,1439,694,1439,1066.5,2.0734870317002883,True,False,False,False,False,False,
kitty,1980_1989,1990_1999,0.41177502274513245,0.5882249772548676,122,817,122,817,469.5,6.69672131147541,True,False,False,False,False,False,
dish,1980_1989,1990_1999,0.41187742352485657,0.5881225764751434,211,478,211,478,344.5,2.265402843601896,True,False,False,False,False,False,
mass,1980_1989,1990_1999,0.412460595369339,0.587539404630661,523,1714,523,1714,1118.5,3.2772466539196943,True,False,False,False,False,False,
rated,1980_1989,1990_1999,0.41264262795448303,0.587357372045517,124,528,124,528,326.0,4.258064516129032,True,False,False,False,False,False,
angle,1980_1989,1990_1999,0.4132426381111145,0.5867573618888855,169,354,169,354,261.5,2.094674556213018,True,False,False,False,False,False,
monster,1980_1989,1990_1999,0.41354697942733765,0.5864530205726624,457,1563,457,1563,1010.0,3.4201312910284463,True,False,False,False,False,False,
nuthin,1980_1989,1990_1999,0.41366568207740784,0.5863343179225922,107,748,107,748,427.5,6.990654205607477,True,False,False,False,False,False,
casual,1980_1989,1990_1999,0.41417205333709717,0.5858279466629028,160,305,160,305,232.5,1.90625,True,False,False,False,False,False,
brigade,1980_1989,1990_1999,0.4145701825618744,0.5854298174381256,122,173,122,173,147.5,1.4180327868852458,True,False,False,False,False,False,
pet,1980_1989,1990_1999,0.4146384596824646,0.5853615403175354,266,610,266,610,438.0,2.293233082706767,True,False,False,False,False,False,
dub,1980_1989,1990_1999,0.4149686396121979,0.5850313603878021,578,1161,578,1161,869.5,2.008650519031142,True,False,False,False,False,False,
connection,1980_1989,1990_1999,0.4151569902896881,0.5848430097103119,463,907,463,907,685.0,1.958963282937365,True,False,False,False,False,False,
amsterdam,1980_1989,1990_1999,0.4159024953842163,0.5840975046157837,112,183,112,183,147.5,1.6339285714285714,True,False,False,False,False,False,
drill,1980_1989,1990_1999,0.4161938428878784,0.5838061571121216,121,442,121,442,281.5,3.652892561983471,True,False,False,False,False,False,
experiment,1980_1989,1990_1999,0.4165990948677063,0.5834009051322937,114,220,114,220,167.0,1.9298245614035088,True,False,False,False,False,False,
hoo,1980_1989,1990_1999,0.41661322116851807,0.5833867788314819,2205,4106,2205,4106,3155.5,1.8621315192743764,True,False,False,False,False,False,
mate,1980_1989,1990_1999,0.41752371191978455,0.5824762880802155,350,694,350,694,522.0,1.9828571428571429,True,False,False,False,False,False,
reptile,1980_1989,1990_1999,0.4177898168563843,0.5822101831436157,102,143,102,143,122.5,1.4019607843137254,True,False,False,False,False,False,
cinderella,1980_1989,1990_1999,0.4180544316768646,0.5819455683231354,145,191,145,191,168.0,1.3172413793103448,True,False,False,False,False,False,
cosmic,1980_1989,1990_1999,0.4180799424648285,0.5819200575351715,216,688,216,688,452.0,3.185185185185185,True,False,False,False,False,False,
whoo,1980_1989,1990_1999,0.4184201955795288,0.5815798044204712,1225,1283,1225,1283,1254.0,1.04734693877551,True,False,False,False,False,False,
yah,1980_1989,1990_1999,0.4185861647129059,0.5814138352870941,512,1393,512,1393,952.5,2.720703125,True,False,False,False,False,False,
anti,1980_1989,1990_1999,0.41864481568336487,0.5813551843166351,221,715,221,715,468.0,3.235294117647059,True,False,False,False,False,False,
paris,1980_1989,1990_1999,0.4187513291835785,0.5812486708164215,542,945,542,945,743.5,1.7435424354243543,True,False,False,False,False,False,
gene,1980_1989,1990_1999,0.41899994015693665,0.5810000598430634,100,242,100,242,171.0,2.42,True,False,False,False,False,False,
italian,1980_1989,1990_1999,0.41908663511276245,0.5809133648872375,169,243,169,243,206.0,1.4378698224852071,True,False,False,False,False,False,
digital,1980_1989,1990_1999,0.41917333006858826,0.5808266699314117,184,438,184,438,311.0,2.380434782608696,True,False,False,False,False,False,
rick,1980_1989,1990_1999,0.4198601543903351,0.5801398456096649,209,556,209,556,382.5,2.660287081339713,True,False,False,False,False,False,
hawk,1980_1989,1990_1999,0.42002078890800476,0.5799792110919952,118,478,118,478,298.0,4.0508474576271185,True,False,False,False,False,False,
beep,1980_1989,1990_1999,0.4201118052005768,0.5798881947994232,406,756,406,756,581.0,1.8620689655172413,True,False,False,False,False,False,
teen,1980_1989,1990_1999,0.4202316403388977,0.5797683596611023,208,373,208,373,290.5,1.7932692307692308,True,False,False,False,False,False,
independent,1980_1989,1990_1999,0.4202885925769806,0.5797114074230194,102,487,102,487,294.5,4.7745098039215685,True,False,False,False,False,False,
carol,1980_1989,1990_1999,0.4202937185764313,0.5797062814235687,166,184,166,184,175.0,1.108433734939759,True,False,False,False,False,False,
mount,1980_1989,1990_1999,0.42039555311203003,0.57960444688797,162,455,162,455,308.5,2.808641975308642,True,False,False,False,False,False,
drug,1980_1989,1990_1999,0.42086994647979736,0.5791300535202026,613,3006,613,3006,1809.5,4.903752039151713,True,False,False,False,False,False,
dump,1980_1989,1990_1999,0.42168137431144714,0.5783186256885529,185,861,185,861,523.0,4.654054054054054,True,False,False,False,False,False,
idiot,1980_1989,1990_1999,0.4217816889286041,0.5782183110713959,152,516,152,516,334.0,3.3947368421052633,True,False,False,False,False,False,
pitch,1980_1989,1990_1999,0.42191633582115173,0.5780836641788483,156,624,156,624,390.0,4.0,True,False,False,False,False,False,
duke,1980_1989,1990_1999,0.4219740033149719,0.5780259966850281,265,525,265,525,395.0,1.9811320754716981,True,False,False,False,False,False,
lads,1980_1989,1990_1999,0.4221110939979553,0.5778889060020447,162,270,162,270,216.0,1.6666666666666667,True,False,False,False,False,False,
gum,1980_1989,1990_1999,0.42264705896377563,0.5773529410362244,210,494,210,494,352.0,2.3523809523809525,True,False,False,False,False,False,
isle,1980_1989,1990_1999,0.42291945219039917,0.5770805478096008,152,480,152,480,316.0,3.1578947368421053,True,False,False,False,False,False,
blah,1980_1989,1990_1999,0.42293134331703186,0.5770686566829681,183,642,183,642,412.5,3.5081967213114753,True,False,False,False,False,False,
karma,1980_1989,1990_1999,0.4229744076728821,0.5770255923271179,104,386,104,386,245.0,3.7115384615384617,True,False,False,False,False,False,
testing,1980_1989,1990_1999,0.4233161211013794,0.5766838788986206,112,322,112,322,217.0,2.875,True,False,False,False,False,False,
mhm,1980_1989,1990_1999,0.423637330532074,0.576362669467926,199,264,199,264,231.5,1.3266331658291457,True,False,False,False,False,False,
brilliant,1980_1989,1990_1999,0.4236595928668976,0.5763404071331024,200,474,200,474,337.0,2.37,True,False,False,False,False,False,
clone,1980_1989,1990_1999,0.42373281717300415,0.5762671828269958,106,256,106,256,181.0,2.4150943396226414,True,False,False,False,False,False,
jones,1980_1989,1990_1999,0.42434579133987427,0.5756542086601257,501,1489,501,1489,995.0,2.972055888223553,True,False,False,False,False,False,
blaze,1980_1989,1990_1999,0.4246330261230469,0.5753669738769531,275,1685,275,1685,980.0,6.127272727272727,True,False,False,False,False,False,
ultra,1980_1989,1990_1999,0.4247268736362457,0.5752731263637543,106,371,106,371,238.5,3.5,True,False,False,False,False,False,
napoleon,1980_1989,1990_1999,0.4247604012489319,0.5752395987510681,134,181,134,181,157.5,1.3507462686567164,True,False,False,False,False,False,
cheeba,1980_1989,1990_1999,0.4249182343482971,0.5750817656517029,102,335,102,335,218.5,3.284313725490196,True,False,False,False,False,False,
saint,1980_1989,1990_1999,0.42503589391708374,0.5749641060829163,500,1337,500,1337,918.5,2.674,True,False,False,False,False,False,
gangsta,1980_1989,1990_1999,0.4251055419445038,0.5748944580554962,111,3984,111,3984,2047.5,35.891891891891895,True,False,False,False,False,False,
threat,1980_1989,1990_1999,0.42513254284858704,0.574867457151413,317,969,317,969,643.0,3.056782334384858,True,False,False,False,False,False,
shirley,1980_1989,1990_1999,0.42540010809898376,0.5745998919010162,112,182,112,182,147.0,1.625,True,False,False,False,False,False,
con,1980_1989,1990_1999,0.42540502548217773,0.5745949745178223,309,573,309,573,441.0,1.854368932038835,True,False,False,False,False,False,
dat,1980_1989,1990_1999,0.42569154500961304,0.574308454990387,840,2735,840,2735,1787.5,3.255952380952381,True,False,False,False,False,False,
drunken,1980_1989,1990_1999,0.42574989795684814,0.5742501020431519,172,754,172,754,463.0,4.383720930232558,True,False,False,False,False,False,
jean,1980_1989,1990_1999,0.42582017183303833,0.5741798281669617,329,424,329,424,376.5,1.2887537993920972,True,False,False,False,False,False,
eventually,1980_1989,1990_1999,0.42640700936317444,0.5735929906368256,148,564,148,564,356.0,3.810810810810811,True,False,False,False,False,False,
partner,1980_1989,1990_1999,0.42682236433029175,0.5731776356697083,415,1129,415,1129,772.0,2.720481927710843,True,False,False,False,False,False,
neighbourhood,1980_1989,1990_1999,0.4270154535770416,0.5729845464229584,109,396,109,396,252.5,3.63302752293578,True,False,False,False,False,False,
pigeon,1980_1989,1990_1999,0.4270577132701874,0.5729422867298126,104,244,104,244,174.0,2.3461538461538463,True,False,False,False,False,False,
appeal,1980_1989,1990_1999,0.4276946485042572,0.5723053514957428,228,763,228,763,495.5,3.3464912280701755,True,False,False,False,False,False,
triple,1980_1989,1990_1999,0.42777177691459656,0.5722282230854034,125,1675,125,1675,900.0,13.4,True,False,False,False,False,False,
larry,1980_1989,1990_1999,0.4279242157936096,0.5720757842063904,152,467,152,467,309.5,3.0723684210526314,True,False,False,False,False,False,
romeo,1980_1989,1990_1999,0.42860323190689087,0.5713967680931091,458,598,458,598,528.0,1.3056768558951966,True,False,False,False,False,False,
powder,1980_1989,1990_1999,0.42889460921287537,0.5711053907871246,242,777,242,777,509.5,3.2107438016528924,True,False,False,False,False,False,
connected,1980_1989,1990_1999,0.4290596842765808,0.5709403157234192,232,533,232,533,382.5,2.2974137931034484,True,False,False,False,False,False,
boo,1980_1989,1990_1999,0.4292086064815521,0.5707913935184479,371,2441,371,2441,1406.0,6.579514824797844,True,False,False,False,False,False,
uncle,1980_1989,1990_1999,0.4294185936450958,0.5705814063549042,589,1501,589,1501,1045.0,2.5483870967741935,True,False,False,False,False,False,
heroin,1980_1989,1990_1999,0.429598867893219,0.570401132106781,195,528,195,528,361.5,2.707692307692308,True,False,False,False,False,False,
secretly,1980_1989,1990_1999,0.42961668968200684,0.5703833103179932,107,216,107,216,161.5,2.0186915887850465,True,False,False,False,False,False,
bastard,1980_1989,1990_1999,0.42970311641693115,0.5702968835830688,284,1464,284,1464,874.0,5.154929577464789,True,False,False,False,False,False,
