token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
gotcha,1980_1989,1990_1999,0.23128564655780792,0.7687143534421921,138,358,138,358,248.0,2.5942028985507246,True,False,False,False,False,False,
aha,1980_1989,1990_1999,0.23513470590114594,0.7648652940988541,338,774,338,774,556.0,2.289940828402367,False,False,False,False,False,True,probable_filler
oi,1980_1989,1990_1999,0.28862178325653076,0.7113782167434692,279,756,279,756,517.5,2.7096774193548385,False,True,False,False,False,False,too_short
hee,1980_1989,1990_1999,0.30551376938819885,0.6944862306118011,1250,1131,1131,1250,1190.5,1.1052166224580018,False,False,False,False,False,True,probable_filler
whoah,1980_1989,1990_1999,0.3076481521129608,0.6923518478870392,156,359,156,359,257.5,2.301282051282051,True,False,False,False,False,False,
co,1980_1989,1990_1999,0.3094561994075775,0.6905438005924225,254,637,254,637,445.5,2.5078740157480315,False,True,False,False,False,False,too_short
peoples,1980_1989,1990_1999,0.3102670907974243,0.6897329092025757,113,1091,113,1091,602.0,9.654867256637168,True,False,False,False,False,False,
anna,1980_1989,1990_1999,0.31253886222839355,0.6874611377716064,118,417,118,417,267.5,3.5338983050847457,True,False,False,False,False,False,
er,1980_1989,1990_1999,0.31257474422454834,0.6874252557754517,210,530,210,530,370.0,2.5238095238095237,False,True,False,False,False,False,too_short
maggie,1980_1989,1990_1999,0.31278911232948303,0.687210887670517,151,238,151,238,194.5,1.576158940397351,False,False,False,False,True,False,probable_name
spellbound,1980_1989,1990_1999,0.31324028968811035,0.6867597103118896,101,217,101,217,159.0,2.1485148514851486,True,False,False,False,False,False,
buddha,1980_1989,1990_1999,0.3149193823337555,0.6850806176662445,141,665,141,665,403.0,4.716312056737588,True,False,False,False,False,False,
twin,1980_1989,1990_1999,0.3166796863079071,0.6833203136920929,121,644,121,644,382.5,5.322314049586777,True,False,False,False,False,False,
etc,1980_1989,1990_1999,0.3183794915676117,0.6816205084323883,242,354,242,354,298.0,1.462809917355372,True,False,False,False,False,False,
robot,1980_1989,1990_1999,0.31956037878990173,0.6804396212100983,249,313,249,313,281.0,1.2570281124497993,True,False,False,False,False,False,
latin,1980_1989,1990_1999,0.3258623778820038,0.6741376221179962,223,410,223,410,316.5,1.8385650224215246,True,False,False,False,False,False,
cindy,1980_1989,1990_1999,0.3259415626525879,0.6740584373474121,114,171,114,171,142.5,1.5,False,False,False,False,True,False,probable_name
woo,1980_1989,1990_1999,0.3260522186756134,0.6739477813243866,2239,3386,2239,3386,2812.5,1.5122822688700313,True,False,False,False,False,False,
yeh,1980_1989,1990_1999,0.32757434248924255,0.6724256575107574,356,768,356,768,562.0,2.157303370786517,False,False,False,False,False,True,probable_filler
jenny,1980_1989,1990_1999,0.32780778408050537,0.6721922159194946,302,520,302,520,411.0,1.7218543046357615,False,False,False,False,True,False,probable_name
hu,1980_1989,1990_1999,0.3307318389415741,0.6692681610584259,184,201,184,201,192.5,1.0923913043478262,False,True,False,False,False,False,too_short
mexican,1980_1989,1990_1999,0.3312152922153473,0.6687847077846527,196,532,196,532,364.0,2.7142857142857144,True,False,False,False,False,False,
susan,1980_1989,1990_1999,0.3324335217475891,0.6675664782524109,111,585,111,585,348.0,5.27027027027027,False,False,False,False,True,False,probable_name
loco,1980_1989,1990_1999,0.3341202735900879,0.6658797264099121,285,563,285,563,424.0,1.975438596491228,True,False,False,False,False,False,
drama,1980_1989,1990_1999,0.33587032556533813,0.6641296744346619,185,2364,185,2364,1274.5,12.778378378378378,True,False,False,False,False,False,
bud,1980_1989,1990_1999,0.3359515368938446,0.6640484631061554,130,942,130,942,536.0,7.246153846153846,True,False,False,False,False,False,
victoria,1980_1989,1990_1999,0.33786600828170776,0.6621339917182922,107,206,107,206,156.5,1.925233644859813,True,False,False,False,False,False,
dutch,1980_1989,1990_1999,0.33953025937080383,0.6604697406291962,113,340,113,340,226.5,3.0088495575221237,True,False,False,False,False,False,
click,1980_1989,1990_1999,0.3417819142341614,0.6582180857658386,275,2720,275,2720,1497.5,9.89090909090909,True,False,False,False,False,False,
ski,1980_1989,1990_1999,0.34352704882621765,0.6564729511737823,233,543,233,543,388.0,2.3304721030042916,True,False,False,False,False,False,
al,1980_1989,1990_1999,0.34531307220458984,0.6546869277954102,311,1027,311,1027,669.0,3.302250803858521,False,True,False,False,False,False,too_short
shaft,1980_1989,1990_1999,0.3457034230232239,0.6542965769767761,101,268,101,268,184.5,2.6534653465346536,True,False,False,False,False,False,
coz,1980_1989,1990_1999,0.34673771262168884,0.6532622873783112,211,1196,211,1196,703.5,5.668246445497631,True,False,False,False,False,False,
yak,1980_1989,1990_1999,0.34859856963157654,0.6514014303684235,139,279,139,279,209.0,2.0071942446043165,True,False,False,False,False,False,
tat,1980_1989,1990_1999,0.3487381637096405,0.6512618362903595,116,1276,116,1276,696.0,11.0,True,False,False,False,False,False,
ar,1980_1989,1990_1999,0.35152795910835266,0.6484720408916473,195,332,195,332,263.5,1.7025641025641025,False,True,False,False,False,False,too_short
boot,1980_1989,1990_1999,0.3519366383552551,0.6480633616447449,240,986,240,986,613.0,4.108333333333333,True,False,False,False,False,False,
sample,1980_1989,1990_1999,0.35249048471450806,0.6475095152854919,142,1086,142,1086,614.0,7.647887323943662,True,False,False,False,False,False,
willie,1980_1989,1990_1999,0.35280078649520874,0.6471992135047913,307,879,307,879,593.0,2.8631921824104234,True,False,False,False,False,False,
judy,1980_1989,1990_1999,0.3542005121707916,0.6457994878292084,206,273,206,273,239.5,1.325242718446602,False,False,False,False,True,False,probable_name
ali,1980_1989,1990_1999,0.3566768169403076,0.6433231830596924,153,393,153,393,273.0,2.5686274509803924,True,False,False,False,False,False,
shocking,1980_1989,1990_1999,0.3577696979045868,0.6422303020954132,179,244,179,244,211.5,1.3631284916201116,True,False,False,False,False,False,
mostly,1980_1989,1990_1999,0.3583363890647888,0.6416636109352112,177,567,177,567,372.0,3.2033898305084745,True,False,False,False,False,False,
slang,1980_1989,1990_1999,0.3589138388633728,0.6410861611366272,129,1334,129,1334,731.5,10.34108527131783,True,False,False,False,False,False,
earl,1980_1989,1990_1999,0.3594691753387451,0.6405308246612549,116,243,116,243,179.5,2.0948275862068964,True,False,False,False,False,False,
meantime,1980_1989,1990_1999,0.3614554703235626,0.6385445296764374,108,288,108,288,198.0,2.6666666666666665,True,False,False,False,False,False,
yep,1980_1989,1990_1999,0.36312976479530334,0.6368702352046967,136,579,136,579,357.5,4.257352941176471,True,False,False,False,False,False,
mickey,1980_1989,1990_1999,0.36363646388053894,0.6363635361194611,222,502,222,502,362.0,2.2612612612612613,True,False,False,False,False,False,
raving,1980_1989,1990_1999,0.3638686537742615,0.6361313462257385,120,194,120,194,157.0,1.6166666666666667,True,False,False,False,False,False,
bob,1980_1989,1990_1999,0.3645837903022766,0.6354162096977234,562,1425,562,1425,993.5,2.5355871886120998,True,False,False,False,False,False,
