token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
mhm,True,False,False,False,False,False,,163,4965,1022.8333333333334,30.460122699386503,1.7241066866241943,0.22535979747772217,0.7746402025222778,0.6123487740755081,3.0617438703775406,0.758440300822258,2000_2009__to__2010_2019,0.24771513651425567,163,270,199,264,276,4965,0.44759923219680786,0.3978882431983948,0.423637330532074,0.4275716245174408,0.241559699177742,0.5524007678031921,0.6021117568016052,0.576362669467926,0.5724283754825592,0.758440300822258
molly,True,False,False,False,False,False,,127,21362,3825.6666666666665,168.20472440944883,2.050404078379432,0.2885449230670929,0.7114550769329071,0.4963414341211319,2.4817071706056595,0.7549008280038834,2000_2009__to__2010_2019,0.3041861009813056,253,127,174,431,607,21362,0.6744734048843384,0.6833769679069519,0.5679721236228943,0.3473711609840393,0.24509917199611664,0.3255265951156616,0.3166230320930481,0.4320278763771057,0.6526288390159607,0.7549008280038834
limbo,True,False,False,False,False,False,,108,2869,694.1666666666666,26.564814814814813,1.4104203650682525,0.2558048367500305,0.7441951632499695,0.5651636958122254,2.8258184790611267,0.7218293845653534,1960_1969__to__1970_1979,0.25544081826698933,108,145,247,376,420,2869,0.2781706154346466,0.534373939037323,0.4304192066192627,0.4759316146373749,0.4552861452102661,0.7218293845653534,0.465626060962677,0.5695807933807373,0.5240683853626251,0.5447138547897339
coo,True,False,False,False,False,False,,138,2895,839.8333333333334,20.97826086956522,1.1141012641136872,0.2967187762260437,0.7032812237739563,0.5629600167274476,2.8148000836372375,0.7064447999000549,1990_1999__to__2000_2009,0.25097512395523264,138,301,488,521,696,2895,0.5818915963172913,0.5039076805114746,0.5117976665496826,0.29355520009994507,0.2940477728843689,0.41810840368270874,0.4960923194885254,0.4882023334503174,0.7064447999000549,0.7059522271156311
anna,True,False,False,False,False,False,,100,2225,605.8333333333334,22.25,1.2400654947221774,0.3045337498188019,0.6954662501811981,0.5613636314868927,2.8068181574344635,0.6874611377716064,1980_1989__to__1990_1999,0.2449254277305843,100,123,118,417,652,2225,0.5585830807685852,0.5563869476318359,0.31253886222839355,0.36788108944892883,0.39779186248779297,0.4414169192314148,0.44361305236816406,0.6874611377716064,0.6321189105510712,0.602208137512207
china,True,False,False,False,False,False,,124,5208,1362.1666666666667,42.0,1.2915699478968066,0.32611358165740967,0.6738864183425903,0.5099500715732574,2.5497503578662872,0.6852006614208221,1960_1969__to__1970_1979,0.2687324503384794,124,256,519,813,1253,5208,0.31479933857917786,0.4502720832824707,0.482183575630188,0.531083345413208,0.6719112992286682,0.6852006614208221,0.5497279167175293,0.517816424369812,0.468916654586792,0.3280887007713318
dan,True,False,False,False,False,False,,137,5659,1292.6666666666667,41.306569343065696,1.5266737871108995,0.26447030901908875,0.7355296909809113,0.5675550103187561,2.8377750515937805,0.684632807970047,1960_1969__to__1970_1979,0.24125689863456107,137,233,201,549,977,5659,0.315367192029953,0.44880613684654236,0.3973258137702942,0.4578257203102112,0.5429000854492188,0.684632807970047,0.5511938631534576,0.6026741862297058,0.5421742796897888,0.45709991455078125
sport,True,False,False,False,False,False,,105,5738,1379.8333333333333,54.647619047619045,1.4443735473350165,0.21813809871673584,0.7818619012832642,0.48651190400123595,2.43255952000618,0.6818526983261108,1960_1969__to__1970_1979,0.2803025754224417,109,105,247,835,1245,5738,0.31814730167388916,0.4530344307422638,0.5222623348236084,0.604602575302124,0.6693938374519348,0.6818526983261108,0.5469655692577362,0.4777376651763916,0.395397424697876,0.3306061625480652
don,True,False,False,False,False,False,,387,33437,7846.666666666667,86.40051679586563,1.4992100710545266,0.21291285753250122,0.7870871424674988,0.4848569333553314,2.424284666776657,0.676488608121872,1960_1969__to__1970_1979,0.2790466884490653,387,403,1143,3454,8256,33437,0.32351139187812805,0.38410818576812744,0.493075430393219,0.643359363079071,0.7316609621047974,0.676488608121872,0.6158918142318726,0.506924569606781,0.35664063692092896,0.26833903789520264
buddy,True,False,False,False,False,False,,351,10015,2545.0,28.532763532763532,1.3417787182600882,0.43140363693237305,0.568596363067627,0.5548243999481202,2.7741219997406006,0.6744241714477539,1970_1979__to__1980_1989,0.24311265745011112,351,448,787,1181,2488,10015,0.5598587989807129,0.3255758285522461,0.40603163838386536,0.43198445439338684,0.5024272799491882,0.4401412010192871,0.6744241714477539,0.5939683616161346,0.5680155456066132,0.49757272005081177
woo,True,False,False,False,False,False,,1182,57208,12421.333333333334,48.39932318104907,1.6208997915038263,0.26841750741004944,0.7315824925899506,0.5047304391860962,2.523652195930481,0.6739477813243866,1980_1989__to__1990_1999,0.26705256073367084,1182,2802,2239,3386,7711,57208,0.679145097732544,0.5259169936180115,0.3260522186756134,0.37035223841667175,0.5748812556266785,0.32085490226745605,0.4740830063819885,0.6739477813243866,0.6296477615833282,0.42511874437332153
henry,True,False,False,False,False,False,,213,2461,723.0,11.553990610328638,1.0979170869925219,0.37258243560791016,0.6274175643920898,0.5416510820388794,2.708255410194397,0.668587863445282,1960_1969__to__1970_1979,0.24687031397725193,253,231,213,562,618,2461,0.331412136554718,0.4719102680683136,0.4966158866882324,0.49652284383773804,0.49528345465660095,0.668587863445282,0.5280897319316864,0.5033841133117676,0.503477156162262,0.504716545343399
bitch,True,False,False,False,False,False,,122,875145,159847.33333333334,7173.319672131148,2.005088404542488,0.381187379360199,0.618812620639801,0.3682468593120575,1.8412342965602875,0.6655716598033905,1960_1969__to__1970_1979,0.36148124171203094,122,392,1872,25751,55802,875145,0.3344283401966095,0.5105035305023193,0.7069092988967896,0.8188772797584534,0.7880472540855408,0.6655716598033905,0.48949646949768066,0.29309070110321045,0.18112272024154663,0.21195274591445923
woh,True,False,False,False,False,False,,107,2835,891.6666666666666,26.49532710280374,1.005849326439773,0.2544783055782318,0.7455216944217682,0.5673802077770234,2.8369010388851166,0.6647201776504517,2000_2009__to__2010_2019,0.23431207805249432,107,332,695,716,665,2835,0.4773530960083008,0.5023244619369507,0.4321012496948242,0.4160403311252594,0.33527982234954834,0.5226469039916992,0.4976755380630493,0.5678987503051758,0.5839596688747406,0.6647201776504517
bah,True,False,False,False,False,False,,258,6534,1564.3333333333333,25.325581395348838,1.4422163872503748,0.3622913956642151,0.6377086043357849,0.4266803562641144,2.133401781320572,0.6547476947307587,2000_2009__to__2010_2019,0.3069031349197951,258,276,427,489,1402,6534,0.739064633846283,0.7499300837516785,0.6179834008216858,0.41436779499053955,0.34525230526924133,0.26093536615371704,0.25006991624832153,0.3820165991783142,0.5856322050094604,0.6547476947307587
monster,True,False,False,False,False,False,,186,22754,4848.166666666667,122.33333333333333,1.6720833217928945,0.3411099314689636,0.6588900685310364,0.5303015410900116,2.651507705450058,0.6520669162273407,1970_1979__to__1980_1989,0.24592307044292033,186,280,457,1563,3849,22754,0.39650285243988037,0.3479330837726593,0.41354697942733765,0.5154131054878235,0.6750962734222412,0.6034971475601196,0.6520669162273407,0.5864530205726624,0.4845868945121765,0.3249037265777588
willie,True,False,False,False,False,False,,203,2665,921.0,13.12807881773399,0.915729449590769,0.3133135437965393,0.6866864562034607,0.5535951375961303,2.767975687980652,0.6471992135047913,1980_1989__to__1990_1999,0.23381679843327988,203,373,307,879,1099,2665,0.5798707008361816,0.4819026291370392,0.35280078649520874,0.40587562322616577,0.4115745723247528,0.42012929916381836,0.5180973708629608,0.6471992135047913,0.5941243767738342,0.5884254276752472
dancer,True,False,False,False,False,False,,111,5940,1537.5,53.513513513513516,1.3023872723326966,0.26040083169937134,0.7395991683006287,0.464953625202179,2.3247681260108948,0.6466525197029114,1960_1969__to__1970_1979,0.27815785689238276,111,475,638,723,1338,5940,0.3533474802970886,0.5827887058258057,0.5770597457885742,0.5616829991340637,0.600352942943573,0.6466525197029114,0.41721129417419434,0.4229402542114258,0.4383170008659363,0.399647057056427
fred,True,False,False,False,False,False,,116,2252,699.3333333333334,19.413793103448278,1.04128491691513,0.4040604531764984,0.5959395468235016,0.5443047106266021,2.721523553133011,0.6461264193058014,1970_1979__to__1980_1989,0.23741349530559172,116,257,229,593,749,2252,0.4249177873134613,0.3538735806941986,0.4881554841995239,0.48402008414268494,0.5275095105171204,0.5750822126865387,0.6461264193058014,0.5118445158004761,0.5159799158573151,0.47249048948287964
sandy,True,False,False,False,False,False,,119,2245,583.3333333333334,18.865546218487395,1.291161666476972,0.2658715844154358,0.7341284155845642,0.5593116819858551,2.7965584099292755,0.6354649066925049,1960_1969__to__1970_1979,0.22723105100764754,119,187,155,305,489,2245,0.3645350933074951,0.4949069023132324,0.4014663100242615,0.4459293782711029,0.49660390615463257,0.6354649066925049,0.5050930976867676,0.5985336899757385,0.5540706217288971,0.5033960938453674
bob,True,False,False,False,False,False,,158,7636,2020.1666666666667,48.32911392405063,1.2862596476355037,0.4247187077999115,0.5752812922000885,0.5016028344631195,2.5080141723155975,0.6354162096977234,1980_1989__to__1990_1999,0.25335431382792256,158,281,562,1425,2059,7636,0.5317462682723999,0.5427241325378418,0.3645837903022766,0.49056699872016907,0.5623646378517151,0.4682537317276001,0.4572758674621582,0.6354162096977234,0.5094330012798309,0.4376353621482849
duck,True,False,False,False,False,False,,126,14814,3471.6666666666665,117.57142857142857,1.492988346090396,0.2741298973560333,0.7258701026439667,0.46497827768325806,2.3248913884162903,0.6346005499362946,1970_1979__to__1980_1989,0.27295922428814307,126,198,610,1945,3137,14814,0.49151697754859924,0.36539945006370544,0.5191470384597778,0.5882817506790161,0.7107633948326111,0.5084830224514008,0.6346005499362946,0.48085296154022217,0.4117182493209839,0.2892366051673889
bom,True,False,False,False,False,False,,292,3556,928.5,12.178082191780822,1.270969324028961,0.4204367399215698,0.5795632600784302,0.47819858193397524,2.390992909669876,0.6340437233448029,2000_2009__to__2010_2019,0.26518009350029614,337,420,292,339,627,3556,0.5727149844169617,0.5641012787818909,0.6028720140457153,0.5033625364303589,0.36595627665519714,0.42728501558303833,0.43589872121810913,0.39712798595428467,0.4966374635696411,0.6340437233448029
hare,True,False,False,False,False,False,,135,1320,420.1666666666667,9.777777777777779,0.9815750362089125,0.3602783679962158,0.6397216320037842,0.5474136948585511,2.737068474292755,0.6304964423179626,1980_1989__to__1990_1999,0.23035464703924874,135,217,139,336,374,1320,0.3885616064071655,0.501412570476532,0.36950355768203735,0.44429272413253784,0.5591610670089722,0.6114383935928345,0.498587429523468,0.6304964423179626,0.5557072758674622,0.44083893299102783
bug,True,False,False,False,False,False,,153,4265,1219.1666666666667,27.875816993464053,1.1791978706217792,0.38794317841529846,0.6120568215847015,0.508233493566513,2.5411674678325653,0.6282693445682526,1970_1979__to__1980_1989,0.24723649760246677,153,154,321,1060,1362,4265,0.46269530057907104,0.37173065543174744,0.43787968158721924,0.5779893398284912,0.6085375547409058,0.537304699420929,0.6282693445682526,0.5621203184127808,0.4220106601715088,0.39146244525909424
sha,True,False,False,False,False,False,,370,4586,1499.1666666666667,12.394594594594595,0.9538374786447783,0.3207607567310333,0.6792392432689667,0.5228864908218384,2.614432454109192,0.6256223320960999,1990_1999__to__2000_2009,0.2392956571177764,370,578,924,969,1568,4586,0.530846357345581,0.5385949015617371,0.5082052946090698,0.37437766790390015,0.43354332447052,0.46915364265441895,0.46140509843826294,0.4917947053909302,0.6256223320960999,0.56645667552948
heavy,True,False,False,False,False,False,,550,51045,11884.166666666666,92.80909090909091,1.5041862935203545,0.5109878182411194,0.4890121817588806,0.37233867645263674,1.8616933822631836,0.6193491220474243,1970_1979__to__1980_1989,0.33268051976126556,550,1552,2053,4698,11407,51045,0.583526611328125,0.3806508779525757,0.6365605592727661,0.6839638352394104,0.8536047339439392,0.416473388671875,0.6193491220474243,0.3634394407272339,0.3160361647605896,0.1463952660560608
drag,True,False,False,False,False,False,,367,18026,4656.833333333333,49.11716621253406,1.3306496524052174,0.3173351585865021,0.6826648414134979,0.4154187738895416,2.077093869447708,0.616817981004715,1960_1969__to__1970_1979,0.2969620150911738,367,585,1161,2615,5187,18026,0.38318201899528503,0.5210148692131042,0.5861162543296814,0.6729608774185181,0.7596321105957031,0.616817981004715,0.47898513078689575,0.4138837456703186,0.32703912258148193,0.24036788940429688
rush,True,False,False,False,False,False,,308,29255,6850.666666666667,94.98376623376623,1.5005856825975914,0.34132060408592224,0.6586793959140778,0.4070064961910248,2.035032480955124,0.6163375079631805,1970_1979__to__1980_1989,0.30286372022617947,308,400,1049,3106,6986,29255,0.5474041104316711,0.38366249203681946,0.5192241072654724,0.7317977547645569,0.7828790545463562,0.45259588956832886,0.6163375079631805,0.4807758927345276,0.2682022452354431,0.2171209454536438
toot,True,False,False,False,False,False,,126,1971,513.1666666666666,15.642857142857142,1.2768110373778863,0.2944995164871216,0.7055004835128784,0.5314570367336273,2.6572851836681366,0.614414393901825,1990_1999__to__2000_2009,0.23121883856428338,126,202,206,227,347,1971,0.53853440284729,0.5208989977836609,0.43622246384620667,0.38558560609817505,0.46147334575653076,0.46146559715270996,0.4791010022163391,0.5637775361537933,0.614414393901825,0.5385266542434692
soldier,True,False,False,False,False,False,,319,16720,4497.333333333333,52.41379310344828,1.272475071143871,0.4325426518917084,0.5674573481082916,0.4286316215991974,2.143158107995987,0.6118649542331696,1970_1979__to__1980_1989,0.28549688049161664,319,682,1090,2833,5340,16720,0.5420070290565491,0.38813504576683044,0.4992600083351135,0.6526941657066345,0.7747456431388855,0.4579929709434509,0.6118649542331696,0.5007399916648865,0.3473058342933655,0.2252543568611145
