token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
mhm,True,False,False,False,False,False,,163,4965,1022.8333333333334,30.460122699386503,1.7241066866241943,0.22535979747772217,0.7746402025222778,0.6123487740755081,3.0617438703775406,0.758440300822258,2000_2009__to__2010_2019,0.24771513651425567,163,270,199,264,276,4965,0.44759923219680786,0.3978882431983948,0.423637330532074,0.4275716245174408,0.241559699177742,0.5524007678031921,0.6021117568016052,0.576362669467926,0.5724283754825592,0.758440300822258
dan,True,False,False,False,False,False,,137,5659,1292.6666666666667,41.306569343065696,1.5266737871108995,0.26447030901908875,0.7355296909809113,0.5675550103187561,2.8377750515937805,0.684632807970047,1960_1969__to__1970_1979,0.24125689863456107,137,233,201,549,977,5659,0.315367192029953,0.44880613684654236,0.3973258137702942,0.4578257203102112,0.5429000854492188,0.684632807970047,0.5511938631534576,0.6026741862297058,0.5421742796897888,0.45709991455078125
woh,True,False,False,False,False,False,,107,2835,891.6666666666666,26.49532710280374,1.005849326439773,0.2544783055782318,0.7455216944217682,0.5673802077770234,2.8369010388851166,0.6647201776504517,2000_2009__to__2010_2019,0.23431207805249432,107,332,695,716,665,2835,0.4773530960083008,0.5023244619369507,0.4321012496948242,0.4160403311252594,0.33527982234954834,0.5226469039916992,0.4976755380630493,0.5678987503051758,0.5839596688747406,0.6647201776504517
limbo,True,False,False,False,False,False,,108,2869,694.1666666666666,26.564814814814813,1.4104203650682525,0.2558048367500305,0.7441951632499695,0.5651636958122254,2.8258184790611267,0.7218293845653534,1960_1969__to__1970_1979,0.25544081826698933,108,145,247,376,420,2869,0.2781706154346466,0.534373939037323,0.4304192066192627,0.4759316146373749,0.4552861452102661,0.7218293845653534,0.465626060962677,0.5695807933807373,0.5240683853626251,0.5447138547897339
coo,True,False,False,False,False,False,,138,2895,839.8333333333334,20.97826086956522,1.1141012641136872,0.2967187762260437,0.7032812237739563,0.5629600167274476,2.8148000836372375,0.7064447999000549,1990_1999__to__2000_2009,0.25097512395523264,138,301,488,521,696,2895,0.5818915963172913,0.5039076805114746,0.5117976665496826,0.29355520009994507,0.2940477728843689,0.41810840368270874,0.4960923194885254,0.4882023334503174,0.7064447999000549,0.7059522271156311
anna,True,False,False,False,False,False,,100,2225,605.8333333333334,22.25,1.2400654947221774,0.3045337498188019,0.6954662501811981,0.5613636314868927,2.8068181574344635,0.6874611377716064,1980_1989__to__1990_1999,0.2449254277305843,100,123,118,417,652,2225,0.5585830807685852,0.5563869476318359,0.31253886222839355,0.36788108944892883,0.39779186248779297,0.4414169192314148,0.44361305236816406,0.6874611377716064,0.6321189105510712,0.602208137512207
sandy,True,False,False,False,False,False,,119,2245,583.3333333333334,18.865546218487395,1.291161666476972,0.2658715844154358,0.7341284155845642,0.5593116819858551,2.7965584099292755,0.6354649066925049,1960_1969__to__1970_1979,0.22723105100764754,119,187,155,305,489,2245,0.3645350933074951,0.4949069023132324,0.4014663100242615,0.4459293782711029,0.49660390615463257,0.6354649066925049,0.5050930976867676,0.5985336899757385,0.5540706217288971,0.5033960938453674
whoo,True,False,False,False,False,False,,207,10880,2856.0,52.56038647342995,1.2779572274136555,0.4122728109359741,0.5877271890640259,0.5589924097061157,2.7949620485305786,0.597205638885498,2000_2009__to__2010_2019,0.21367218177415773,207,1051,1225,1283,2490,10880,0.47603416442871094,0.4717840552330017,0.4184201955795288,0.436005175113678,0.40279436111450195,0.5239658355712891,0.5282159447669983,0.5815798044204712,0.563994824886322,0.597205638885498
buddy,True,False,False,False,False,False,,351,10015,2545.0,28.532763532763532,1.3417787182600882,0.43140363693237305,0.568596363067627,0.5548243999481202,2.7741219997406006,0.6744241714477539,1970_1979__to__1980_1989,0.24311265745011112,351,448,787,1181,2488,10015,0.5598587989807129,0.3255758285522461,0.40603163838386536,0.43198445439338684,0.5024272799491882,0.4401412010192871,0.6744241714477539,0.5939683616161346,0.5680155456066132,0.49757272005081177
willie,True,False,False,False,False,False,,203,2665,921.0,13.12807881773399,0.915729449590769,0.3133135437965393,0.6866864562034607,0.5535951375961303,2.767975687980652,0.6471992135047913,1980_1989__to__1990_1999,0.23381679843327988,203,373,307,879,1099,2665,0.5798707008361816,0.4819026291370392,0.35280078649520874,0.40587562322616577,0.4115745723247528,0.42012929916381836,0.5180973708629608,0.6471992135047913,0.5941243767738342,0.5884254276752472
cha,True,False,False,False,False,False,,428,10133,3095.8333333333335,23.675233644859812,1.0911066122005793,0.2290964424610138,0.7709035575389862,0.5525444924831391,2.762722462415695,0.595097541809082,1960_1969__to__1970_1979,0.21540257840041416,428,542,1129,2329,4014,10133,0.40490245819091797,0.45764756202697754,0.4796028435230255,0.4646316170692444,0.4304930567741394,0.595097541809082,0.5423524379730225,0.5203971564769745,0.5353683829307556,0.5695069432258606
hare,True,False,False,False,False,False,,135,1320,420.1666666666667,9.777777777777779,0.9815750362089125,0.3602783679962158,0.6397216320037842,0.5474136948585511,2.737068474292755,0.6304964423179626,1980_1989__to__1990_1999,0.23035464703924874,135,217,139,336,374,1320,0.3885616064071655,0.501412570476532,0.36950355768203735,0.44429272413253784,0.5591610670089722,0.6114383935928345,0.498587429523468,0.6304964423179626,0.5557072758674622,0.44083893299102783
wee,True,False,False,False,False,False,,504,5486,1687.3333333333333,10.884920634920634,1.0430290901369617,0.3069814145565033,0.6930185854434967,0.5454728782176972,2.7273643910884857,0.6063355505466461,1970_1979__to__1980_1989,0.2223155631597356,504,569,575,1185,1805,5486,0.43843626976013184,0.3936644494533539,0.4323541224002838,0.5119491219520569,0.49623164534568787,0.5615637302398682,0.6063355505466461,0.5676458775997162,0.4880508780479431,0.5037683546543121
fred,True,False,False,False,False,False,,116,2252,699.3333333333334,19.413793103448278,1.04128491691513,0.4040604531764984,0.5959395468235016,0.5443047106266021,2.721523553133011,0.6461264193058014,1970_1979__to__1980_1989,0.23741349530559172,116,257,229,593,749,2252,0.4249177873134613,0.3538735806941986,0.4881554841995239,0.48402008414268494,0.5275095105171204,0.5750822126865387,0.6461264193058014,0.5118445158004761,0.5159799158573151,0.47249048948287964
henry,True,False,False,False,False,False,,213,2461,723.0,11.553990610328638,1.0979170869925219,0.37258243560791016,0.6274175643920898,0.5416510820388794,2.708255410194397,0.668587863445282,1960_1969__to__1970_1979,0.24687031397725193,253,231,213,562,618,2461,0.331412136554718,0.4719102680683136,0.4966158866882324,0.49652284383773804,0.49528345465660095,0.668587863445282,0.5280897319316864,0.5033841133117676,0.503477156162262,0.504716545343399
rosie,True,False,False,False,False,False,,142,1166,390.1666666666667,8.211267605633802,0.9088832558425126,0.37365099787712097,0.626349002122879,0.5388773143291473,2.6943865716457367,0.5562566518783569,1960_1969__to__1970_1979,0.20645020196140387,151,270,142,255,357,1166,0.44374334812164307,0.44744500517845154,0.48720118403434753,0.4705561101436615,0.45666778087615967,0.5562566518783569,0.5525549948215485,0.5127988159656525,0.5294438898563385,0.5433322191238403
toot,True,False,False,False,False,False,,126,1971,513.1666666666666,15.642857142857142,1.2768110373778863,0.2944995164871216,0.7055004835128784,0.5314570367336273,2.6572851836681366,0.614414393901825,1990_1999__to__2000_2009,0.23121883856428338,126,202,206,227,347,1971,0.53853440284729,0.5208989977836609,0.43622246384620667,0.38558560609817505,0.46147334575653076,0.46146559715270996,0.4791010022163391,0.5637775361537933,0.614414393901825,0.5385266542434692
monster,True,False,False,False,False,False,,186,22754,4848.166666666667,122.33333333333333,1.6720833217928945,0.3411099314689636,0.6588900685310364,0.5303015410900116,2.651507705450058,0.6520669162273407,1970_1979__to__1980_1989,0.24592307044292033,186,280,457,1563,3849,22754,0.39650285243988037,0.3479330837726593,0.41354697942733765,0.5154131054878235,0.6750962734222412,0.6034971475601196,0.6520669162273407,0.5864530205726624,0.4845868945121765,0.3249037265777588
tramp,True,False,False,False,False,False,,121,1327,431.3333333333333,10.96694214876033,0.9882850706518443,0.3084564208984375,0.6915435791015625,0.5262642085552216,2.631321042776108,0.5526514053344727,1970_1979__to__1980_1989,0.2100281175691933,121,122,134,381,503,1327,0.4678620994091034,0.44734859466552734,0.4724767804145813,0.4963226616382599,0.4846688210964203,0.5321379005908966,0.5526514053344727,0.5275232195854187,0.5036773383617401,0.5153311789035797
