token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
mate,True,False,False,False,False,False,,132,8827,1983.8333333333333,66.87121212121212,1.568050604238674,0.17098896205425262,0.8290110379457474,0.515644508600235,2.578222543001175,0.5824762880802155,1980_1989__to__1990_1999,0.22592164887449362,134,132,350,694,1766,8827,0.4242432415485382,0.4707329571247101,0.41752371191978455,0.4800065755844116,0.6292709708213806,0.5757567584514618,0.5292670428752899,0.5824762880802155,0.5199934244155884,0.3707290291786194
jackson,True,False,False,False,False,False,,140,8755,1906.0,62.535714285714285,1.6242545558696606,0.17122900485992432,0.8287709951400757,0.4946218073368073,2.4731090366840363,0.5507673919200897,1970_1979__to__1980_1989,0.22270242991734926,140,199,214,688,1440,8755,0.4685940742492676,0.4492326080799103,0.5085812211036682,0.5004810094833374,0.6000020503997803,0.5314059257507324,0.5507673919200897,0.4914187788963318,0.4995189905166626,0.3999979496002197
don,True,False,False,False,False,False,,387,33437,7846.666666666667,86.40051679586563,1.4992100710545266,0.21291285753250122,0.7870871424674988,0.4848569333553314,2.424284666776657,0.676488608121872,1960_1969__to__1970_1979,0.2790466884490653,387,403,1143,3454,8256,33437,0.32351139187812805,0.38410818576812744,0.493075430393219,0.643359363079071,0.7316609621047974,0.676488608121872,0.6158918142318726,0.506924569606781,0.35664063692092896,0.26833903789520264
sport,True,False,False,False,False,False,,105,5738,1379.8333333333333,54.647619047619045,1.4443735473350165,0.21813809871673584,0.7818619012832642,0.48651190400123595,2.43255952000618,0.6818526983261108,1960_1969__to__1970_1979,0.2803025754224417,109,105,247,835,1245,5738,0.31814730167388916,0.4530344307422638,0.5222623348236084,0.604602575302124,0.6693938374519348,0.6818526983261108,0.5469655692577362,0.4777376651763916,0.395397424697876,0.3306061625480652
loop,True,False,False,False,False,False,,116,6261,1396.3333333333333,53.974137931034484,1.5757562788772717,0.21943463385105133,0.7805653661489487,0.4493513762950897,2.2467568814754486,0.5581994652748108,1980_1989__to__1990_1999,0.24844675891600712,116,139,152,737,973,6261,0.6610230803489685,0.5414595007896423,0.4418005347251892,0.4820208251476288,0.6269391775131226,0.3389769196510315,0.45854049921035767,0.5581994652748108,0.5179791748523712,0.37306082248687744
shady,True,False,False,False,False,False,,119,10644,2460.5,89.4453781512605,1.5237545904618328,0.22088752686977386,0.7791124731302261,0.4597883462905884,2.298941731452942,0.591099739074707,1980_1989__to__1990_1999,0.2571181909430689,119,247,180,1124,2449,10644,0.5605619549751282,0.5624164938926697,0.40890026092529297,0.555413544178009,0.6137660145759583,0.4394380450248718,0.4375835061073303,0.591099739074707,0.44458645582199097,0.38623398542404175
chill,True,False,False,False,False,False,,142,44333,9407.5,312.2042253521127,1.6774372935976645,0.2237277328968048,0.7762722671031952,0.33400955200195315,1.6700477600097656,0.4532703161239624,1970_1979__to__1980_1989,0.271411588924446,142,310,1149,4019,6492,44333,0.6947299242019653,0.5467296838760376,0.6149986386299133,0.7087785601615906,0.7647154331207275,0.30527007579803467,0.4532703161239624,0.38500136137008667,0.2912214398384094,0.23528456687927246
mhm,True,False,False,False,False,False,,163,4965,1022.8333333333334,30.460122699386503,1.7241066866241943,0.22535979747772217,0.7746402025222778,0.6123487740755081,3.0617438703775406,0.758440300822258,2000_2009__to__2010_2019,0.24771513651425567,163,270,199,264,276,4965,0.44759923219680786,0.3978882431983948,0.423637330532074,0.4275716245174408,0.241559699177742,0.5524007678031921,0.6021117568016052,0.576362669467926,0.5724283754825592,0.758440300822258
cha,True,False,False,False,False,False,,428,10133,3095.8333333333335,23.675233644859812,1.0911066122005793,0.2290964424610138,0.7709035575389862,0.5525444924831391,2.762722462415695,0.595097541809082,1960_1969__to__1970_1979,0.21540257840041416,428,542,1129,2329,4014,10133,0.40490245819091797,0.45764756202697754,0.4796028435230255,0.4646316170692444,0.4304930567741394,0.595097541809082,0.5423524379730225,0.5203971564769745,0.5353683829307556,0.5695069432258606
pan,True,False,False,False,False,False,,112,8301,1831.1666666666667,74.11607142857143,1.5982287851168904,0.23776370286941528,0.7622362971305847,0.43955245018005373,2.1977622509002686,0.49611109495162964,1960_1969__to__1970_1979,0.22573465111997798,112,196,267,700,1411,8301,0.5038889050483704,0.5390347838401794,0.5808423161506653,0.5671432018280029,0.6113285422325134,0.49611109495162964,0.46096521615982056,0.4191576838493347,0.43285679817199707,0.3886714577674866
hood,True,False,False,False,False,False,,102,65863,14972.666666666666,645.7156862745098,1.5774973342933054,0.2394191473722458,0.7605808526277542,0.38953201174736024,1.9476600587368011,0.5675619840621948,1980_1989__to__1990_1999,0.29140710747557247,102,141,280,5427,18023,65863,0.6138582825660706,0.4908427894115448,0.4324380159378052,0.6947575807571411,0.8204432725906372,0.38614171743392944,0.5091572105884552,0.5675619840621948,0.3052424192428589,0.1795567274093628
