token,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags,min_count_all_labels,max_count_all_labels,mean_count_all_labels,count_ratio_max_to_min,count_cv_all_labels,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,dominant_jump_pair,one_step_dominance,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019
ar,False,True,False,False,False,False,too_short,145,5943,1291.8333333333333,40.98620689655172,1.6241405902554946,0.1479806751012802,0.8520193248987198,0.5853654861450195,2.9268274307250977,0.6793692111968994,1990_1999__to__2000_2009,0.23211795955752376,145,186,195,332,950,5943,0.4609968662261963,0.46196168661117554,0.35152795910835266,0.3206307888031006,0.47805526852607727,0.5390031337738037,0.5380383133888245,0.6484720408916473,0.6793692111968994,0.5219447314739227
yay,False,False,False,False,False,True,probable_filler,232,9239,2203.5,39.82327586206897,1.4600980959063337,0.15197014808654785,0.8480298519134521,0.4514801263809204,2.257400631904602,0.5469414293766022,1990_1999__to__2000_2009,0.24228815286329555,232,235,313,1078,2124,9239,0.6626864075660706,0.6106395125389099,0.4754898250102997,0.4530585706233978,0.54072505235672,0.33731359243392944,0.3893604874610901,0.5245101749897003,0.5469414293766022,0.45927494764328003
michael,False,False,False,False,True,False,probable_name,193,16047,3320.5,83.14507772020725,1.726676802098953,0.16658975183963776,0.8334102481603622,0.476112163066864,2.38056081533432,0.5686642527580261,1960_1969__to__1970_1979,0.2388782714959392,193,207,312,991,2173,16047,0.4313357472419739,0.5502944588661194,0.5880836844444275,0.49135154485702515,0.558373749256134,0.5686642527580261,0.4497055411338806,0.4119163155555725,0.5086484551429749,0.44162625074386597
mate,True,False,False,False,False,False,,132,8827,1983.8333333333333,66.87121212121212,1.568050604238674,0.17098896205425262,0.8290110379457474,0.515644508600235,2.578222543001175,0.5824762880802155,1980_1989__to__1990_1999,0.22592164887449362,134,132,350,694,1766,8827,0.4242432415485382,0.4707329571247101,0.41752371191978455,0.4800065755844116,0.6292709708213806,0.5757567584514618,0.5292670428752899,0.5824762880802155,0.5199934244155884,0.3707290291786194
jackson,True,False,False,False,False,False,,140,8755,1906.0,62.535714285714285,1.6242545558696606,0.17122900485992432,0.8287709951400757,0.4946218073368073,2.4731090366840363,0.5507673919200897,1970_1979__to__1980_1989,0.22270242991734926,140,199,214,688,1440,8755,0.4685940742492676,0.4492326080799103,0.5085812211036682,0.5004810094833374,0.6000020503997803,0.5314059257507324,0.5507673919200897,0.4914187788963318,0.4995189905166626,0.3999979496002197
wi,False,True,False,False,False,False,too_short,127,6059,1376.5,47.70866141732284,1.5422928763797596,0.20081506669521332,0.7991849333047867,0.4928625762462616,2.464312881231308,0.6123987138271332,1970_1979__to__1980_1989,0.2485068833958879,133,127,161,721,1058,6059,0.6326603293418884,0.3876012861728668,0.42108237743377686,0.543787956237793,0.5505551695823669,0.3673396706581116,0.6123987138271332,0.5789176225662231,0.45621204376220703,0.44944483041763306
don,True,False,False,False,False,False,,387,33437,7846.666666666667,86.40051679586563,1.4992100710545266,0.21291285753250122,0.7870871424674988,0.4848569333553314,2.424284666776657,0.676488608121872,1960_1969__to__1970_1979,0.2790466884490653,387,403,1143,3454,8256,33437,0.32351139187812805,0.38410818576812744,0.493075430393219,0.643359363079071,0.7316609621047974,0.676488608121872,0.6158918142318726,0.506924569606781,0.35664063692092896,0.26833903789520264
sport,True,False,False,False,False,False,,105,5738,1379.8333333333333,54.647619047619045,1.4443735473350165,0.21813809871673584,0.7818619012832642,0.48651190400123595,2.43255952000618,0.6818526983261108,1960_1969__to__1970_1979,0.2803025754224417,109,105,247,835,1245,5738,0.31814730167388916,0.4530344307422638,0.5222623348236084,0.604602575302124,0.6693938374519348,0.6818526983261108,0.5469655692577362,0.4777376651763916,0.395397424697876,0.3306061625480652
loop,True,False,False,False,False,False,,116,6261,1396.3333333333333,53.974137931034484,1.5757562788772717,0.21943463385105133,0.7805653661489487,0.4493513762950897,2.2467568814754486,0.5581994652748108,1980_1989__to__1990_1999,0.24844675891600712,116,139,152,737,973,6261,0.6610230803489685,0.5414595007896423,0.4418005347251892,0.4820208251476288,0.6269391775131226,0.3389769196510315,0.45854049921035767,0.5581994652748108,0.5179791748523712,0.37306082248687744
shady,True,False,False,False,False,False,,119,10644,2460.5,89.4453781512605,1.5237545904618328,0.22088752686977386,0.7791124731302261,0.4597883462905884,2.298941731452942,0.591099739074707,1980_1989__to__1990_1999,0.2571181909430689,119,247,180,1124,2449,10644,0.5605619549751282,0.5624164938926697,0.40890026092529297,0.555413544178009,0.6137660145759583,0.4394380450248718,0.4375835061073303,0.591099739074707,0.44458645582199097,0.38623398542404175
