token,present_all_labels,is_probable_name,is_probable_filler,count_1960_1969,count_1970_1979,count_1980_1989,count_1990_1999,count_2000_2009,count_2010_2019,cos_1960_1969__to__1970_1979,cos_1970_1979__to__1980_1989,cos_1980_1989__to__1990_1999,cos_1990_1999__to__2000_2009,cos_2000_2009__to__2010_2019,dist_1960_1969__to__1970_1979,dist_1970_1979__to__1980_1989,dist_1980_1989__to__1990_1999,dist_1990_1999__to__2000_2009,dist_2000_2009__to__2010_2019,range_cosine_similarity,range_cosine_distance,adjacent_distance_mean,adjacent_distance_sum,adjacent_distance_max,count_ratio_max_to_min,count_cv_all_labels,dominant_jump_pair,one_step_dominance
baby,True,False,False,37790,54815,65793,124779,193959,845475,0.7073267102241516,0.7932074069976807,0.7892277240753174,0.8331593871116638,0.8478391766548157,0.2926732897758484,0.20679259300231934,0.21077227592468262,0.16684061288833618,0.15216082334518433,0.6447179317474365,0.3552820682525635,0.20584791898727417,1.0292395949363708,0.2926732897758484,22.372982270441916,1.2900811776625263,1960_1969__to__1970_1979,0.28435875496408775
broken,True,False,False,1698,2730,5802,13413,34466,124095,0.7031297087669373,0.6972294449806213,0.7226796746253967,0.8109183311462402,0.8963091373443604,0.29687029123306274,0.30277055501937866,0.27732032537460327,0.18908166885375977,0.10369086265563965,0.6211603283882141,0.3788396716117859,0.23394674062728882,1.169733703136444,0.30277055501937866,73.08303886925795,1.427710535599993,1970_1979__to__1980_1989,0.25883716456792716
desire,True,False,False,574,1225,3670,6180,10163,28489,0.6516256928443909,0.6165146827697754,0.6832887530326843,0.7108539938926697,0.801770806312561,0.34837430715560913,0.3834853172302246,0.3167112469673157,0.2891460061073303,0.19822919368743896,0.5767456293106079,0.4232543706893921,0.30718921422958373,1.5359460711479187,0.3834853172302246,49.63240418118467,1.1386089641101353,1970_1979__to__1980_1989,0.24967368609733773
forever,True,False,False,2547,5012,10980,25365,49985,176296,0.7419259548187256,0.7622783780097961,0.7710069417953491,0.8200021386146545,0.8547036647796631,0.2580740451812744,0.23772162199020386,0.22899305820465088,0.17999786138534546,0.14529633522033691,0.5346422791481018,0.4653577208518982,0.2100165843963623,1.0500829219818115,0.2580740451812744,69.21711817824892,1.351032941951841,1960_1969__to__1970_1979,0.24576539602626213
heart,True,False,False,17833,19393,45475,77943,147343,563884,0.7062273621559143,0.673774778842926,0.8361336588859558,0.842150866985321,0.8910877704620361,0.2937726378440857,0.326225221157074,0.1638663411140442,0.15784913301467896,0.10891222953796387,0.5189400911331177,0.4810599088668823,0.21012511253356933,1.0506255626678467,0.326225221157074,31.620254584197834,1.3231921146680712,1970_1979__to__1980_1989,0.31050569560547564
hurt,True,False,False,3138,3831,5856,12797,25659,114450,0.7742790579795837,0.7640941143035889,0.7167624831199646,0.8032575845718384,0.8409826755523682,0.22572094202041626,0.23590588569641113,0.2832375168800354,0.19674241542816162,0.15901732444763184,0.6171210408210754,0.38287895917892456,0.22012481689453126,1.1006240844726562,0.2832375168800354,36.47227533460803,1.4331160417128304,1980_1989__to__1990_1999,0.2573426484808784
kiss,True,False,False,5224,3952,7644,17265,32832,106790,0.7232549786567688,0.7227522134780884,0.7420008778572083,0.8005005121231079,0.8620734810829163,0.2767450213432312,0.2772477865219116,0.25799912214279175,0.1994994878768921,0.13792651891708374,0.5782686471939087,0.4217313528060913,0.22988358736038209,1.1494179368019104,0.2772477865219116,27.02176113360324,1.249570357432128,1970_1979__to__1980_1989,0.24120711678931478
love,True,False,False,70949,116381,166637,260428,427061,1770599,0.823396623134613,0.8093571662902832,0.8324131369590759,0.8532084822654724,0.8633605241775513,0.17660337686538696,0.1906428337097168,0.16758686304092407,0.1467915177345276,0.13663947582244873,0.6101946234703064,0.3898053765296936,0.16365281343460084,0.8182640671730042,0.1906428337097168,24.95594018238453,1.266386160373172,1970_1979__to__1980_1989,0.23298448674199146
mine,True,False,False,8030,9430,13643,28854,52134,218037,0.7751632928848267,0.7361173033714294,0.8045984506607056,0.8359355330467224,0.8757798671722412,0.22483670711517334,0.26388269662857056,0.19540154933929443,0.1640644669532776,0.12422013282775879,0.5483139157295227,0.4516860842704773,0.19448111057281495,0.9724055528640747,0.26388269662857056,27.15280199252802,1.353300296945434,1970_1979__to__1980_1989,0.27137103017495495
touch,True,False,False,2168,5107,10373,18698,36442,131783,0.7401003837585449,0.7351028919219971,0.7911787629127502,0.8149293661117554,0.892109751701355,0.2598996162414551,0.26489710807800293,0.20882123708724976,0.18507063388824463,0.10789024829864502,0.538399338722229,0.461600661277771,0.20531576871871948,1.0265788435935974,0.26489710807800293,60.78551660516605,1.3229757949717615,1970_1979__to__1980_1989,0.25803873685017276
