rank,token,count
1,the,505359
2,you,431577
3,i,399327
4,and,322890
5,to,308443
6,a,280655
7,me,207768
8,my,165837
9,in,163340
10,it,149476
11,of,141720
12,on,126439
13,your,116451
14,love,116381
15,that,112610
16,be,93614
17,all,93427
18,for,88873
19,is,88791
20,i'm,87959
21,don't,80362
22,so,74713
23,know,73687
24,but,73587
25,no,70563
26,just,69162
27,do,65801
28,with,65574
29,we,65461
30,it's,63241
31,when,60460
32,got,58899
33,can,55482
34,baby,54815
35,now,54015
36,like,52668
37,what,52563
38,was,51592
39,down,50478
40,time,48272
41,get,48099
42,if,47007
43,up,46729
44,you're,45547
45,he,44667
46,one,43962
47,come,43120
48,she,42256
49,out,42133
50,see,42128
51,go,42081
52,have,41410
53,this,40334
54,are,39369
55,they,38793
56,never,37279
57,her,37187
58,way,37016
59,will,35509
60,can't,35186
61,say,33950
62,as,32968
63,from,32830
64,there,32675
65,gonna,32328
66,let,32301
67,man,32190
68,make,32096
69,at,31973
70,take,30744
71,want,30276
72,i'll,30255
73,not,29907
74,well,29822
75,i've,29658
76,away,28857
77,day,28780
78,back,28505
79,good,27996
80,been,27188
81,night,27185
82,life,26021
83,his,26017
84,by,25928
85,right,25876
86,how,25813
87,tell,25383
88,feel,25271
89,more,24435
90,cause,24383
91,here,23844
92,where,23181
93,need,23083
94,little,23012
95,said,22685
96,too,22631
97,could,22261
98,long,22104
99,ain't,21406
100,some,21163
101,there's,20674
102,give,20504
103,again,20172
104,home,20111
105,that's,20060
106,only,19718
107,through,19666
108,had,19618
109,girl,19459
110,heart,19393
111,then,19163
112,around,19000
113,world,18985
114,keep,18760
115,about,18729
116,or,18513
117,think,18468
118,who,18455
119,our,17975
120,won't,17720
121,him,17562
122,mind,17431
123,find,17266
124,wanna,17262
125,why,17234
126,would,16480
127,old,16439
128,over,16369
129,eyes,16054
130,every,15869
131,look,15761
132,were,15616
133,gone,15183
134,an,14968
135,people,14890
136,yes,14882
137,us,14699
138,still,14548
139,she's,14499
140,ever,14425
141,things,13792
142,them,13587
143,always,13549
144,you've,13539
145,really,13448
146,we're,12971
147,going,12901
148,hear,12869
149,much,12797
150,he's,12741
151,sweet,12700
152,lord,12152
153,you'll,12125
154,try,11942
155,thing,11925
156,better,11792
157,before,11676
158,song,11663
159,am,11613
160,i'd,11605
161,woman,11454
162,has,11389
163,new,11287
164,hold,11204
165,leave,11090
166,made,11087
167,sing,11064
168,live,10995
169,did,10980
170,please,10922
171,light,10911
172,gotta,10900
173,alone,10895
174,believe,10695
175,their,10647
176,stay,10608
177,nothing,10602
