label,axis_id,axis_label,target,score,axis_norm,positive_anchors_used_n,negative_anchors_used_n
1960_1969,affection_vs_conflict,Affection vs Conflict,baby,0.0548095740377903,2.5394859313964844,5,5
1970_1979,affection_vs_conflict,Affection vs Conflict,baby,0.12598338723182678,2.795072317123413,5,5
1980_1989,affection_vs_conflict,Affection vs Conflict,baby,0.1774265468120575,2.89907169342041,5,5
1990_1999,affection_vs_conflict,Affection vs Conflict,baby,0.20436160266399384,2.850444793701172,5,5
2000_2009,affection_vs_conflict,Affection vs Conflict,baby,0.16207055747509003,2.685901403427124,5,5
2010_2019,affection_vs_conflict,Affection vs Conflict,baby,0.23264093697071075,2.5467002391815186,5,5
1960_1969,affection_vs_conflict,Affection vs Conflict,desire,0.09376928210258484,2.5394859313964844,5,5
1970_1979,affection_vs_conflict,Affection vs Conflict,desire,0.1090984120965004,2.795072317123413,5,5
1980_1989,affection_vs_conflict,Affection vs Conflict,desire,0.03826494514942169,2.89907169342041,5,5
1990_1999,affection_vs_conflict,Affection vs Conflict,desire,0.08244988322257996,2.850444793701172,5,5
2000_2009,affection_vs_conflict,Affection vs Conflict,desire,0.15469571948051453,2.685901403427124,5,5
2010_2019,affection_vs_conflict,Affection vs Conflict,desire,0.10521212965250015,2.5467002391815186,5,5
1960_1969,affection_vs_conflict,Affection vs Conflict,heart,-0.0140443230047822,2.5394859313964844,5,5
1970_1979,affection_vs_conflict,Affection vs Conflict,heart,-0.025007018819451332,2.795072317123413,5,5
1980_1989,affection_vs_conflict,Affection vs Conflict,heart,-0.02399626187980175,2.89907169342041,5,5
1990_1999,affection_vs_conflict,Affection vs Conflict,heart,-0.001407396630384028,2.850444793701172,5,5
2000_2009,affection_vs_conflict,Affection vs Conflict,heart,0.03835801035165787,2.685901403427124,5,5
2010_2019,affection_vs_conflict,Affection vs Conflict,heart,0.020103078335523605,2.5467002391815186,5,5
1960_1969,affection_vs_conflict,Affection vs Conflict,kiss,0.031946878880262375,2.5394859313964844,5,5
1970_1979,affection_vs_conflict,Affection vs Conflict,kiss,0.009764984250068665,2.795072317123413,5,5
1980_1989,affection_vs_conflict,Affection vs Conflict,kiss,0.041636306792497635,2.89907169342041,5,5
1990_1999,affection_vs_conflict,Affection vs Conflict,kiss,0.0980934277176857,2.850444793701172,5,5
2000_2009,affection_vs_conflict,Affection vs Conflict,kiss,0.16160793602466583,2.685901403427124,5,5
2010_2019,affection_vs_conflict,Affection vs Conflict,kiss,0.11298464238643646,2.5467002391815186,5,5
