label,target,neighbor_rank,neighbor,similarity
1960_1969,baby,1,reconsider,0.5706245303153992
1960_1969,baby,2,darling,0.5596952438354492
1960_1969,baby,3,you,0.5515651106834412
1960_1969,baby,4,wooh,0.5478596687316895
1960_1969,baby,5,tryna,0.5429835915565491
1960_1969,baby,6,wanta,0.5403702259063721
1960_1969,baby,7,cc,0.5314732789993286
1960_1969,baby,8,nookie,0.529641330242157
1960_1969,baby,9,confessin,0.5279600620269775
1960_1969,baby,10,hurt's,0.5258899331092834
1960_1969,baby,11,lucille,0.5258644223213196
1960_1969,baby,12,babe,0.5238769054412842
1960_1969,baby,13,hanna,0.5236207246780396
1960_1969,baby,14,hahahaha,0.5197500586509705
1960_1969,baby,15,shes,0.5189147591590881
1970_1979,baby,1,you,0.5844093561172485
1970_1979,baby,2,oww,0.5490992069244385
1970_1979,baby,3,hon,0.5245489478111267
1970_1979,baby,4,loretta,0.5185287594795227
1970_1979,baby,5,babe,0.5165466070175171
1970_1979,baby,6,dogging,0.5144643187522888
1970_1979,baby,7,darling,0.514031171798706
1970_1979,baby,8,everything'll,0.5076624751091003
1970_1979,baby,9,honey,0.5058064460754395
1970_1979,baby,10,caus,0.5042274594306946
1970_1979,baby,11,cheri,0.5010740160942078
1970_1979,baby,12,triflin,0.4984273910522461
1970_1979,baby,13,woohoo,0.4978939890861511
1970_1979,baby,14,gotcha,0.49621957540512085
1970_1979,baby,15,darlin,0.4948427975177765
1980_1989,baby,1,babe,0.6061535477638245
1980_1989,baby,2,darlin,0.5740684866905212
1980_1989,baby,3,you,0.562713086605072
1980_1989,baby,4,darlene,0.5397050380706787
1980_1989,baby,5,wontcha,0.5343319177627563
1980_1989,baby,6,darling,0.5311809182167053
1980_1989,baby,7,bet'cha,0.5197068452835083
1980_1989,baby,8,atari,0.5174065232276917
1980_1989,baby,9,anggie,0.5156474709510803
1980_1989,baby,10,doreen,0.5154548287391663
1980_1989,baby,11,wooh,0.5107415318489075
1980_1989,baby,12,lovelite,0.5096691250801086
1980_1989,baby,13,hon,0.5091878771781921
1980_1989,baby,14,sweetie,0.5070026516914368
1980_1989,baby,15,touchy,0.5028583407402039
1990_1999,baby,1,babe,0.6701743006706238
1990_1999,baby,2,girl,0.5947374701499939
1990_1999,baby,3,you,0.5760053992271423
1990_1999,baby,4,darling,0.5727693438529968
1990_1999,baby,5,babay,0.5678052306175232
1990_1999,baby,6,what'chu,0.5569765567779541
1990_1999,baby,7,iggin,0.5504999160766602
1990_1999,baby,8,dontcha,0.5417275428771973
1990_1999,baby,9,darlin,0.5379909873008728
1990_1999,baby,10,honey,0.5317085981369019
1990_1999,baby,11,layla,0.5255918502807617
1990_1999,baby,12,wooh,0.5248294472694397
1990_1999,baby,13,gonne,0.5191611051559448
1990_1999,baby,14,corrina,0.5186668634414673
1990_1999,baby,15,maryanne,0.5170392990112305
