label,inventory_role,axis_id,pole,word,present_in_embedding,count,meets_min_count_20,strong_enough
1960_1969,target,,,love,True,70949.0,True,True
1960_1969,target,,,heart,True,17833.0,True,True
1960_1969,target,,,baby,True,37790.0,True,True
1960_1969,target,,,desire,True,574.0,True,True
1960_1969,target,,,kiss,True,5224.0,True,True
1960_1969,anchor,affection_vs_conflict,positive,affection,True,146.0,True,True
1960_1969,anchor,affection_vs_conflict,positive,sweetheart,True,579.0,True,True
1960_1969,anchor,affection_vs_conflict,positive,devotion,True,115.0,True,True
1960_1969,anchor,affection_vs_conflict,positive,cherish,True,119.0,True,True
1960_1969,anchor,affection_vs_conflict,positive,darling,True,4791.0,True,True
1960_1969,anchor,affection_vs_conflict,negative,hurt,True,3138.0,True,True
1960_1969,anchor,affection_vs_conflict,negative,broken,True,1698.0,True,True
1960_1969,anchor,affection_vs_conflict,negative,sorrow,True,1164.0,True,True
1960_1969,anchor,affection_vs_conflict,negative,lonely,True,5942.0,True,True
1960_1969,anchor,affection_vs_conflict,negative,tears,True,4138.0,True,True
1960_1969,anchor,romance_vs_desire,positive,affection,True,146.0,True,True
1960_1969,anchor,romance_vs_desire,positive,tenderness,True,264.0,True,True
1960_1969,anchor,romance_vs_desire,positive,devotion,True,115.0,True,True
1960_1969,anchor,romance_vs_desire,positive,cherish,True,119.0,True,True
1960_1969,anchor,romance_vs_desire,positive,sweetness,True,104.0,True,True
1960_1969,anchor,romance_vs_desire,negative,lust,True,54.0,True,True
1960_1969,anchor,romance_vs_desire,negative,passion,True,112.0,True,True
1960_1969,anchor,romance_vs_desire,negative,temptation,True,184.0,True,True
1960_1969,anchor,romance_vs_desire,negative,body,True,840.0,True,True
1960_1969,anchor,romance_vs_desire,negative,heat,True,272.0,True,True
1960_1969,anchor,permanence_vs_transience,positive,forever,True,2547.0,True,True
1960_1969,anchor,permanence_vs_transience,positive,lasting,True,63.0,True,True
1960_1969,anchor,permanence_vs_transience,positive,eternal,True,78.0,True,True
1960_1969,anchor,permanence_vs_transience,positive,always,True,7707.0,True,True
1960_1969,anchor,permanence_vs_transience,positive,permanent,True,20.0,True,True
1960_1969,anchor,permanence_vs_transience,negative,fleeting,True,76.0,True,True
1960_1969,anchor,permanence_vs_transience,negative,temporary,False,,False,False
1960_1969,anchor,permanence_vs_transience,negative,passing,True,662.0,True,True
1960_1969,anchor,permanence_vs_transience,negative,leave,True,6536.0,True,True
1960_1969,anchor,permanence_vs_transience,negative,gone,True,10349.0,True,True
1970_1979,target,,,love,True,116381.0,True,True
1970_1979,target,,,heart,True,19393.0,True,True
1970_1979,target,,,baby,True,54815.0,True,True
1970_1979,target,,,desire,True,1225.0,True,True
1970_1979,target,,,kiss,True,3952.0,True,True
1970_1979,anchor,affection_vs_conflict,positive,affection,True,322.0,True,True
1970_1979,anchor,affection_vs_conflict,positive,sweetheart,True,428.0,True,True
1970_1979,anchor,affection_vs_conflict,positive,devotion,True,206.0,True,True
1970_1979,anchor,affection_vs_conflict,positive,cherish,True,149.0,True,True
1970_1979,anchor,affection_vs_conflict,positive,darling,True,3989.0,True,True
1970_1979,anchor,affection_vs_conflict,negative,hurt,True,3831.0,True,True
1970_1979,anchor,affection_vs_conflict,negative,broken,True,2730.0,True,True
1970_1979,anchor,affection_vs_conflict,negative,sorrow,True,1473.0,True,True
1970_1979,anchor,affection_vs_conflict,negative,lonely,True,8109.0,True,True
1970_1979,anchor,affection_vs_conflict,negative,tears,True,4796.0,True,True
1970_1979,anchor,romance_vs_desire,positive,affection,True,322.0,True,True
1970_1979,anchor,romance_vs_desire,positive,tenderness,True,288.0,True,True
1970_1979,anchor,romance_vs_desire,positive,devotion,True,206.0,True,True
1970_1979,anchor,romance_vs_desire,positive,cherish,True,149.0,True,True
1970_1979,anchor,romance_vs_desire,positive,sweetness,True,259.0,True,True
1970_1979,anchor,romance_vs_desire,negative,lust,True,273.0,True,True
1970_1979,anchor,romance_vs_desire,negative,passion,True,507.0,True,True
1970_1979,anchor,romance_vs_desire,negative,temptation,True,252.0,True,True
1970_1979,anchor,romance_vs_desire,negative,body,True,3947.0,True,True
1970_1979,anchor,romance_vs_desire,negative,heat,True,1248.0,True,True
1970_1979,anchor,permanence_vs_transience,positive,forever,True,5012.0,True,True
1970_1979,anchor,permanence_vs_transience,positive,lasting,True,121.0,True,True
1970_1979,anchor,permanence_vs_transience,positive,eternal,True,293.0,True,True
1970_1979,anchor,permanence_vs_transience,positive,always,True,13549.0,True,True
1970_1979,anchor,permanence_vs_transience,positive,permanent,True,84.0,True,True
1970_1979,anchor,permanence_vs_transience,negative,fleeting,True,111.0,True,True
1970_1979,anchor,permanence_vs_transience,negative,temporary,True,57.0,True,True
1970_1979,anchor,permanence_vs_transience,negative,passing,True,1222.0,True,True
1970_1979,anchor,permanence_vs_transience,negative,leave,True,11090.0,True,True
1970_1979,anchor,permanence_vs_transience,negative,gone,True,15183.0,True,True
1980_1989,target,,,love,True,166637.0,True,True
1980_1989,target,,,heart,True,45475.0,True,True
1980_1989,target,,,baby,True,65793.0,True,True
1980_1989,target,,,desire,True,3670.0,True,True
1980_1989,target,,,kiss,True,7644.0,True,True
1980_1989,anchor,affection_vs_conflict,positive,affection,True,581.0,True,True
1980_1989,anchor,affection_vs_conflict,positive,sweetheart,True,520.0,True,True
1980_1989,anchor,affection_vs_conflict,positive,devotion,True,469.0,True,True
1980_1989,anchor,affection_vs_conflict,positive,cherish,True,289.0,True,True
1980_1989,anchor,affection_vs_conflict,positive,darling,True,4112.0,True,True
1980_1989,anchor,affection_vs_conflict,negative,hurt,True,5856.0,True,True
1980_1989,anchor,affection_vs_conflict,negative,broken,True,5802.0,True,True
1980_1989,anchor,affection_vs_conflict,negative,sorrow,True,1752.0,True,True
1980_1989,anchor,affection_vs_conflict,negative,lonely,True,10387.0,True,True
1980_1989,anchor,affection_vs_conflict,negative,tears,True,7907.0,True,True
1980_1989,anchor,romance_vs_desire,positive,affection,True,581.0,True,True
1980_1989,anchor,romance_vs_desire,positive,tenderness,True,422.0,True,True
1980_1989,anchor,romance_vs_desire,positive,devotion,True,469.0,True,True
1980_1989,anchor,romance_vs_desire,positive,cherish,True,289.0,True,True
1980_1989,anchor,romance_vs_desire,positive,sweetness,True,312.0,True,True
1980_1989,anchor,romance_vs_desire,negative,lust,True,1069.0,True,True
1980_1989,anchor,romance_vs_desire,negative,passion,True,2313.0,True,True
1980_1989,anchor,romance_vs_desire,negative,temptation,True,747.0,True,True
1980_1989,anchor,romance_vs_desire,negative,body,True,10538.0,True,True
1980_1989,anchor,romance_vs_desire,negative,heat,True,4193.0,True,True
1980_1989,anchor,permanence_vs_transience,positive,forever,True,10980.0,True,True
1980_1989,anchor,permanence_vs_transience,positive,lasting,True,296.0,True,True
1980_1989,anchor,permanence_vs_transience,positive,eternal,True,763.0,True,True
1980_1989,anchor,permanence_vs_transience,positive,always,True,24830.0,True,True
1980_1989,anchor,permanence_vs_transience,positive,permanent,True,178.0,True,True
1980_1989,anchor,permanence_vs_transience,negative,fleeting,True,105.0,True,True
1980_1989,anchor,permanence_vs_transience,negative,temporary,True,230.0,True,True
1980_1989,anchor,permanence_vs_transience,negative,passing,True,1472.0,True,True
1980_1989,anchor,permanence_vs_transience,negative,leave,True,15475.0,True,True
1980_1989,anchor,permanence_vs_transience,negative,gone,True,17768.0,True,True
1990_1999,target,,,love,True,260428.0,True,True
1990_1999,target,,,heart,True,77943.0,True,True
1990_1999,target,,,baby,True,124779.0,True,True
1990_1999,target,,,desire,True,6180.0,True,True
1990_1999,target,,,kiss,True,17265.0,True,True
1990_1999,anchor,affection_vs_conflict,positive,affection,True,1028.0,True,True
1990_1999,anchor,affection_vs_conflict,positive,sweetheart,True,961.0,True,True
1990_1999,anchor,affection_vs_conflict,positive,devotion,True,1125.0,True,True
1990_1999,anchor,affection_vs_conflict,positive,cherish,True,838.0,True,True
1990_1999,anchor,affection_vs_conflict,positive,darling,True,5829.0,True,True
1990_1999,anchor,affection_vs_conflict,negative,hurt,True,12797.0,True,True
1990_1999,anchor,affection_vs_conflict,negative,broken,True,13413.0,True,True
1990_1999,anchor,affection_vs_conflict,negative,sorrow,True,4826.0,True,True
1990_1999,anchor,affection_vs_conflict,negative,lonely,True,15271.0,True,True
1990_1999,anchor,affection_vs_conflict,negative,tears,True,18705.0,True,True
1990_1999,anchor,romance_vs_desire,positive,affection,True,1028.0,True,True
1990_1999,anchor,romance_vs_desire,positive,tenderness,True,860.0,True,True
1990_1999,anchor,romance_vs_desire,positive,devotion,True,1125.0,True,True
1990_1999,anchor,romance_vs_desire,positive,cherish,True,838.0,True,True
1990_1999,anchor,romance_vs_desire,positive,sweetness,True,585.0,True,True
1990_1999,anchor,romance_vs_desire,negative,lust,True,3266.0,True,True
1990_1999,anchor,romance_vs_desire,negative,passion,True,3846.0,True,True
1990_1999,anchor,romance_vs_desire,negative,temptation,True,1457.0,True,True
1990_1999,anchor,romance_vs_desire,negative,body,True,21626.0,True,True
1990_1999,anchor,romance_vs_desire,negative,heat,True,7110.0,True,True
1990_1999,anchor,permanence_vs_transience,positive,forever,True,25365.0,True,True
1990_1999,anchor,permanence_vs_transience,positive,lasting,True,428.0,True,True
1990_1999,anchor,permanence_vs_transience,positive,eternal,True,3957.0,True,True
1990_1999,anchor,permanence_vs_transience,positive,always,True,53405.0,True,True
1990_1999,anchor,permanence_vs_transience,positive,permanent,True,605.0,True,True
1990_1999,anchor,permanence_vs_transience,negative,fleeting,True,267.0,True,True
1990_1999,anchor,permanence_vs_transience,negative,temporary,True,424.0,True,True
1990_1999,anchor,permanence_vs_transience,negative,passing,True,3184.0,True,True
1990_1999,anchor,permanence_vs_transience,negative,leave,True,36633.0,True,True
1990_1999,anchor,permanence_vs_transience,negative,gone,True,41525.0,True,True
2000_2009,target,,,love,True,427061.0,True,True
2000_2009,target,,,heart,True,147343.0,True,True
2000_2009,target,,,baby,True,193959.0,True,True
2000_2009,target,,,desire,True,10163.0,True,True
2000_2009,target,,,kiss,True,32832.0,True,True
2000_2009,anchor,affection_vs_conflict,positive,affection,True,1922.0,True,True
2000_2009,anchor,affection_vs_conflict,positive,sweetheart,True,1353.0,True,True
2000_2009,anchor,affection_vs_conflict,positive,devotion,True,1873.0,True,True
2000_2009,anchor,affection_vs_conflict,positive,cherish,True,1332.0,True,True
2000_2009,anchor,affection_vs_conflict,positive,darling,True,9803.0,True,True
2000_2009,anchor,affection_vs_conflict,negative,hurt,True,25659.0,True,True
2000_2009,anchor,affection_vs_conflict,negative,broken,True,34466.0,True,True
2000_2009,anchor,affection_vs_conflict,negative,sorrow,True,9006.0,True,True
2000_2009,anchor,affection_vs_conflict,negative,lonely,True,26720.0,True,True
2000_2009,anchor,affection_vs_conflict,negative,tears,True,33092.0,True,True
2000_2009,anchor,romance_vs_desire,positive,affection,True,1922.0,True,True
2000_2009,anchor,romance_vs_desire,positive,tenderness,True,780.0,True,True
2000_2009,anchor,romance_vs_desire,positive,devotion,True,1873.0,True,True
2000_2009,anchor,romance_vs_desire,positive,cherish,True,1332.0,True,True
2000_2009,anchor,romance_vs_desire,positive,sweetness,True,1035.0,True,True
2000_2009,anchor,romance_vs_desire,negative,lust,True,6489.0,True,True
2000_2009,anchor,romance_vs_desire,negative,passion,True,6868.0,True,True
2000_2009,anchor,romance_vs_desire,negative,temptation,True,2309.0,True,True
2000_2009,anchor,romance_vs_desire,negative,body,True,42409.0,True,True
2000_2009,anchor,romance_vs_desire,negative,heat,True,14985.0,True,True
2000_2009,anchor,permanence_vs_transience,positive,forever,True,49985.0,True,True
2000_2009,anchor,permanence_vs_transience,positive,lasting,True,753.0,True,True
2000_2009,anchor,permanence_vs_transience,positive,eternal,True,7160.0,True,True
2000_2009,anchor,permanence_vs_transience,positive,always,True,110935.0,True,True
2000_2009,anchor,permanence_vs_transience,positive,permanent,True,1270.0,True,True
2000_2009,anchor,permanence_vs_transience,negative,fleeting,True,871.0,True,True
2000_2009,anchor,permanence_vs_transience,negative,temporary,True,1016.0,True,True
2000_2009,anchor,permanence_vs_transience,negative,passing,True,6933.0,True,True
2000_2009,anchor,permanence_vs_transience,negative,leave,True,87185.0,True,True
2000_2009,anchor,permanence_vs_transience,negative,gone,True,89834.0,True,True
2010_2019,target,,,love,True,1770599.0,True,True
2010_2019,target,,,heart,True,563884.0,True,True
2010_2019,target,,,baby,True,845475.0,True,True
2010_2019,target,,,desire,True,28489.0,True,True
2010_2019,target,,,kiss,True,106790.0,True,True
2010_2019,anchor,affection_vs_conflict,positive,affection,True,7548.0,True,True
2010_2019,anchor,affection_vs_conflict,positive,sweetheart,True,3765.0,True,True
2010_2019,anchor,affection_vs_conflict,positive,devotion,True,5796.0,True,True
2010_2019,anchor,affection_vs_conflict,positive,cherish,True,5132.0,True,True
2010_2019,anchor,affection_vs_conflict,positive,darling,True,37112.0,True,True
2010_2019,anchor,affection_vs_conflict,negative,hurt,True,114450.0,True,True
2010_2019,anchor,affection_vs_conflict,negative,broken,True,124095.0,True,True
2010_2019,anchor,affection_vs_conflict,negative,sorrow,True,21613.0,True,True
2010_2019,anchor,affection_vs_conflict,negative,lonely,True,94836.0,True,True
2010_2019,anchor,affection_vs_conflict,negative,tears,True,93227.0,True,True
2010_2019,anchor,romance_vs_desire,positive,affection,True,7548.0,True,True
2010_2019,anchor,romance_vs_desire,positive,tenderness,True,1486.0,True,True
2010_2019,anchor,romance_vs_desire,positive,devotion,True,5796.0,True,True
2010_2019,anchor,romance_vs_desire,positive,cherish,True,5132.0,True,True
2010_2019,anchor,romance_vs_desire,positive,sweetness,True,2299.0,True,True
2010_2019,anchor,romance_vs_desire,negative,lust,True,20346.0,True,True
2010_2019,anchor,romance_vs_desire,negative,passion,True,28605.0,True,True
2010_2019,anchor,romance_vs_desire,negative,temptation,True,6226.0,True,True
2010_2019,anchor,romance_vs_desire,negative,body,True,219057.0,True,True
2010_2019,anchor,romance_vs_desire,negative,heat,True,61705.0,True,True
2010_2019,anchor,permanence_vs_transience,positive,forever,True,176296.0,True,True
2010_2019,anchor,permanence_vs_transience,positive,lasting,True,2671.0,True,True
2010_2019,anchor,permanence_vs_transience,positive,eternal,True,15334.0,True,True
2010_2019,anchor,permanence_vs_transience,positive,always,True,521496.0,True,True
2010_2019,anchor,permanence_vs_transience,positive,permanent,True,4919.0,True,True
2010_2019,anchor,permanence_vs_transience,negative,fleeting,True,3463.0,True,True
