inventory_role,axis_id,pole,word,labels_present,labels_strong,min_count_observed,max_count_observed,required_labels,passes_all_labels_presence,passes_all_labels_strong,target_anchor_overlap_allowed,target_anchor_overlap_respected
anchor,affection_vs_conflict,negative,broken,6,6,1698,124095,6,True,True,False,True
anchor,affection_vs_conflict,negative,hurt,6,6,3138,114450,6,True,True,False,True
anchor,affection_vs_conflict,negative,lonely,6,6,5942,94836,6,True,True,False,True
anchor,affection_vs_conflict,negative,sorrow,6,6,1164,21613,6,True,True,False,True
anchor,affection_vs_conflict,negative,tears,6,6,4138,93227,6,True,True,False,True
anchor,affection_vs_conflict,positive,affection,6,6,146,7548,6,True,True,False,True
anchor,affection_vs_conflict,positive,cherish,6,6,119,5132,6,True,True,False,True
anchor,affection_vs_conflict,positive,darling,6,6,3989,37112,6,True,True,False,True
anchor,affection_vs_conflict,positive,devotion,6,6,115,5796,6,True,True,False,True
anchor,affection_vs_conflict,positive,sweetheart,6,6,428,3765,6,True,True,False,True
anchor,permanence_vs_transience,negative,fleeting,6,6,76,3463,6,True,True,False,True
anchor,permanence_vs_transience,negative,gone,6,6,10349,368855,6,True,True,False,True
anchor,permanence_vs_transience,negative,leave,6,6,6536,387535,6,True,True,False,True
anchor,permanence_vs_transience,negative,passing,6,6,662,24709,6,True,True,False,True
anchor,permanence_vs_transience,negative,temporary,5,5,57,5435,6,False,False,False,True
anchor,permanence_vs_transience,positive,always,6,6,7707,521496,6,True,True,False,True
anchor,permanence_vs_transience,positive,eternal,6,6,78,15334,6,True,True,False,True
anchor,permanence_vs_transience,positive,forever,6,6,2547,176296,6,True,True,False,True
anchor,permanence_vs_transience,positive,lasting,6,6,63,2671,6,True,True,False,True
anchor,permanence_vs_transience,positive,permanent,6,6,20,4919,6,True,True,False,True
anchor,romance_vs_desire,negative,body,6,6,840,219057,6,True,True,False,True
anchor,romance_vs_desire,negative,heat,6,6,272,61705,6,True,True,False,True
anchor,romance_vs_desire,negative,lust,6,6,54,20346,6,True,True,False,True
anchor,romance_vs_desire,negative,passion,6,6,112,28605,6,True,True,False,True
anchor,romance_vs_desire,negative,temptation,6,6,184,6226,6,True,True,False,True
anchor,romance_vs_desire,positive,affection,6,6,146,7548,6,True,True,False,True
anchor,romance_vs_desire,positive,cherish,6,6,119,5132,6,True,True,False,True
anchor,romance_vs_desire,positive,devotion,6,6,115,5796,6,True,True,False,True
anchor,romance_vs_desire,positive,sweetness,6,6,104,2299,6,True,True,False,True
anchor,romance_vs_desire,positive,tenderness,6,6,264,1486,6,True,True,False,True
target,,,baby,6,6,37790,845475,6,True,True,False,True
target,,,desire,6,6,574,28489,6,True,True,False,True
target,,,heart,6,6,17833,563884,6,True,True,False,True
target,,,kiss,6,6,3952,106790,6,True,True,False,True
target,,,love,6,6,70949,1770599,6,True,True,False,True
